#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   1  10   3.6e-79   2.9e-76  255.7   6.3     6   176    24   203    14   210 0.90 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   2  10   2.1e-07   0.00017   18.1   0.2   176   207   387   418   382   433 0.82 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   3  10   1.8e-32   1.5e-29  101.1   3.0   197   272   454   532   447   538 0.90 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   4  10   1.1e-49   9.3e-47  158.0  10.6   266   386   569   711   565   714 0.89 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   5  10   7.9e-64   6.4e-61  204.9  11.4   384   505   920  1046   916  1057 0.93 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   6  10   2.7e-48   2.2e-45  153.5   0.1   502   607  1119  1232  1108  1235 0.93 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   7  10   6.1e-24     5e-21   72.8   0.0   607   656  1455  1504  1451  1510 0.94 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   8  10   3.9e-13   3.2e-10   37.0   0.0   657   721  1531  1599  1527  1607 0.87 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3   9  10   2.1e-30   1.7e-27   94.2   0.1   705   782  1690  1772  1684  1775 0.90 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320900.1-p1   -           2220 575at5820            -           1131         0 1642.8  88.3  10  10    5e-176  4.1e-173  576.5  11.1   783  1131  1852  2220  1842  2220 0.94 | transcript=PVP01_1320900.1 | gene=PVP01_1320900 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_13_v2:938545-945964(-) | protein_length=2220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 575at5820            -           1131   5.1e-12   43.0  33.2   1   4   5.8e-14   4.7e-11   39.8  14.3   338   482   515   674   475   677 0.81 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 575at5820            -           1131   5.1e-12   43.0  33.2   2   4   3.2e-06    0.0026   14.1   0.2   529   563   702   736   687   806 0.89 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 575at5820            -           1131   5.1e-12   43.0  33.2   3   4     0.042        34    0.5   0.4   796   837  1016  1056   997  1111 0.69 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1262500.1-p1   -           1526 575at5820            -           1131   5.1e-12   43.0  33.2   4   4     0.092        75   -0.6   0.8   999  1037  1411  1449  1397  1502 0.84 | transcript=PVP01_1262500.1 | gene=PVP01_1262500 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | transcript_product=eukaryotic translation initiation factor 2-alpha kinase 1, putative | location=PvP01_12_v2:2569991-2574722(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 575at5820            -           1131   2.1e-09   34.3   6.0   1   2   6.9e-09   5.6e-06   23.0   4.4   365   466    49   151    37   180 0.83 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 575at5820            -           1131   2.1e-09   34.3   6.0   2   2   2.2e-05     0.018   11.4   0.0   531   564   193   228   159   265 0.81 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 575at5820            -           1131   1.1e-07   28.6   8.0   1   1   8.5e-09   6.9e-06   22.7   8.1   380   544   122   263   106   329 0.67 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 575at5820            -           1131   1.8e-06   24.6   6.0   1   1   8.5e-09   6.9e-06   22.7   6.1   360   480    45   175     9   279 0.64 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
