#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1112100.1-p1   -            203 11829at5820          -            162     4e-97  321.0  14.9   1   1   2.1e-99   1.2e-96  319.5  14.9     1   162    25   203    25   203 0.96 | transcript=PVP01_1112100.1 | gene=PVP01_1112100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_11_v2:501498-502541(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 11829at5820          -            162   1.8e-11   42.5   0.8   1   1   3.8e-14   2.1e-11   42.3   0.8     4   109    19   119    16   167 0.81 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606100.1-p1   -            181 11829at5820          -            162   1.1e-10   39.9   0.1   1   1   2.5e-13   1.4e-10   39.6   0.1     2   118    17   127    15   157 0.82 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 11829at5820          -            162   7.1e-08   30.8   6.1   1   1   2.3e-10   1.2e-07   30.0   6.1     2   131    16   140    15   181 0.69 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 11829at5820          -            162     1e-07   30.3   0.0   1   1   2.4e-10   1.3e-07   30.0   0.0     3   113    21   127    19   157 0.79 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 11829at5820          -            162   0.00024   19.3   0.4   1   1   6.4e-07   0.00035   18.8   0.4     2   146    32   175    31   193 0.67 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 11829at5820          -            162   0.00053   18.2   0.5   1   1   1.6e-06   0.00087   17.5   0.4     3    97     9   104     7   125 0.80 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 11829at5820          -            162   0.00055   18.2   1.4   1   1   1.5e-06    0.0008   17.6   1.3     5   118    13   126     6   175 0.73 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421400.1-p1   -            216 11829at5820          -            162   0.00062   18.0   0.2   1   1   1.6e-06   0.00084   17.6   0.2     3   114    12   123    10   174 0.77 | transcript=PVP01_1421400.1 | gene=PVP01_1421400 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11A, putative | transcript_product=ras-related protein Rab-11A, putative | location=PvP01_14_v2:927784-929333(+) | protein_length=216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463900.1-p1   -            261 11829at5820          -            162    0.0028   15.8   0.4   1   1   8.1e-06    0.0044   15.2   0.4     5   152    66   213    61   218 0.79 | transcript=PVP01_1463900.1 | gene=PVP01_1463900 | organism=Plasmodium_vivax_P01 | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=PvP01_14_v2:2746065-2747351(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421800.1-p1   -            229 11829at5820          -            162    0.0046   15.1   4.4   1   2   0.00037       0.2    9.8   0.4   118   148    84   114    57   127 0.78 | transcript=PVP01_0421800.1 | gene=PVP01_0421800 | organism=Plasmodium_vivax_P01 | gene_product=ERCC1 nucleotide excision repair protein, putative | transcript_product=ERCC1 nucleotide excision repair protein, putative | location=PvP01_04_v2:877495-878184(-) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421800.1-p1   -            229 11829at5820          -            162    0.0046   15.1   4.4   2   2    0.0035       1.9    6.7   0.2    92   134   166   211   134   224 0.70 | transcript=PVP01_0421800.1 | gene=PVP01_0421800 | organism=Plasmodium_vivax_P01 | gene_product=ERCC1 nucleotide excision repair protein, putative | transcript_product=ERCC1 nucleotide excision repair protein, putative | location=PvP01_04_v2:877495-878184(-) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020100.1-p1   -            207 11829at5820          -            162    0.0051   15.0   0.1   1   1   1.8e-05    0.0096   14.1   0.1     3    88    13    94    11   130 0.75 | transcript=PVP01_1020100.1 | gene=PVP01_1020100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=PvP01_10_v2:874174-874797(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11829at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11829at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11829at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:48 2026
# [ok]
