#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1119500.1-p1   -            282 10295at5820          -            222  1.7e-123  408.8  22.1   1   1    1e-122  7.2e-120  396.9  22.1     1   210    24   246    24   278 0.92 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   1   8   3.4e-19   2.5e-16   58.4   9.4    95   210    96   215    93   217 0.86 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   2   8   6.4e-11   4.7e-08   31.3   1.6   132   217   198   283   196   288 0.82 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   3   8   9.9e-18   7.2e-15   53.6   1.0   101   208   289   408   285   415 0.85 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   4   8   0.00076      0.55    8.2   0.1   160   193   661   697   652   709 0.79 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   5   8   1.7e-06    0.0012   16.8   4.3    80   179   719   825   706   833 0.67 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   6   8   1.3e-05    0.0093   14.0   2.5   126   180   884   939   876   948 0.83 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   7   8   6.1e-09   4.4e-06   24.8   8.8    85   173   903   995   895  1013 0.79 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 10295at5820          -            222   3.7e-49  165.7  59.2   8   8    0.0023       1.7    6.6   0.0   130   156  1031  1057  1019  1062 0.87 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 10295at5820          -            222   6.4e-39  132.2  34.1   1   3     1e-13   7.4e-11   40.5   5.4    94   192    32   132    27   134 0.89 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 10295at5820          -            222   6.4e-39  132.2  34.1   2   3   7.6e-19   5.5e-16   57.2   8.9    94   209    93   210    91   213 0.92 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
