#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   1  11  1.9e-224  1.3e-220  733.9  39.4     2   449    51   532    50   564 0.94 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   2  11    0.0077        50   -1.5   0.1   446   477   577   611   568   643 0.78 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   3  11         0         0 1536.9 123.3   443  1484   878  2055   871  2060 0.91 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   4  11   7.9e-48   5.2e-44  147.8  18.8  1487  1631  2114  2271  2064  2276 0.83 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   5  11         0         0 1385.1 118.6  1627  2488  2295  3252  2289  3262 0.92 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   6  11   1.1e-51   7.2e-48  160.6  12.2  2481  2625  3447  3624  3406  3653 0.74 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   7  11   5.7e-60   3.7e-56  188.1  18.9  2609  2768  3729  3893  3718  3896 0.88 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   8  11   6.4e-11   4.2e-07   25.3   0.1  2766  2809  3958  4013  3953  4017 0.85 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2   9  11  1.6e-307    1e-303 1009.7  68.3  2807  3332  4089  4628  4077  4637 0.96 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2  10  11  8.9e-170  5.8e-166  552.5  42.8  3341  3650  4768  5084  4764  5090 0.97 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0913800.1-p1   -           5627 56at5820             -           3908         0 6190.2 542.2  11  11  2.1e-155  1.4e-151  504.8  28.4  3623  3908  5342  5625  5318  5625 0.94 | transcript=PVP01_0913800.1 | gene=PVP01_0913800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:627255-645745(+) | protein_length=5627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
