#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   1   9   4.8e-62   3.1e-58  195.9  10.1     1   156    14   172    14   184 0.91 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   2   9   3.3e-93   2.1e-89  299.2   2.3   150   397   255   542   242   546 0.85 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   3   9   4.5e-45     3e-41  139.7   0.6   384   502   565   704   559   712 0.87 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   4   9   6.6e-34   4.3e-30  102.7   0.0   510   640   743   910   734   915 0.77 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   5   9  1.5e-114  9.8e-111  370.0  14.3   642   910   943  1227   939  1232 0.92 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   6   9   1.3e-40   8.2e-37  125.0   7.9   910  1048  1256  1451  1252  1456 0.78 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   7   9   2.1e-12   1.4e-08   31.4   0.0  1049  1090  1520  1568  1518  1569 0.86 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   8   9   3.5e-14   2.3e-10   37.3   0.0  1107  1169  1632  1707  1591  1713 0.83 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719700.1-p1   -           2210 787at5820            -           1546         0 1898.6 104.4   9   9  1.4e-190  8.9e-187  622.0  23.9  1182  1545  1831  2209  1827  2210 0.97 | transcript=PVP01_0719700.1 | gene=PVP01_0719700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:858371-865812(-) | protein_length=2210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/787at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/787at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/787at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:16 2026
# [ok]
