#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1269700.1-p1   -            269 10609at5820          -            225  5.7e-147  485.5   3.1   1   1  9.1e-150  6.6e-147  485.3   3.1     1   224     1   226     1   227 0.99 | transcript=PVP01_1269700.1 | gene=PVP01_1269700 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=PvP01_12_v2:2930328-2931567(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117800.1-p1   -            241 10609at5820          -            225   1.3e-35  121.2   0.2   1   1   2.5e-38   1.8e-35  120.8   0.2     6   206     3   203     1   223 0.86 | transcript=PVP01_1117800.1 | gene=PVP01_1117800 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=PvP01_11_v2:755452-756744(-) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213100.1-p1   -            256 10609at5820          -            225   9.3e-34  115.2   0.1   1   1   1.7e-36   1.2e-33  114.8   0.1     3   214     5   224     3   234 0.79 | transcript=PVP01_0213100.1 | gene=PVP01_0213100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=PvP01_02_v2:548876-550047(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 10609at5820          -            225     3e-27   93.9   0.9   1   2   5.2e-30   3.8e-27   93.6   0.3     5   200     4   204     1   219 0.86 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117900.1-p1   -            246 10609at5820          -            225     3e-27   93.9   0.9   2   2      0.96   6.9e+02   -2.2   0.0    93   118   222   245   206   246 0.69 | transcript=PVP01_1117900.1 | gene=PVP01_1117900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=PvP01_11_v2:758711-759594(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140400.1-p1   -            235 10609at5820          -            225   1.2e-25   88.7   0.1   1   1     2e-28   1.4e-25   88.4   0.1    12   222    12   223     3   226 0.90 | transcript=PVP01_1140400.1 | gene=PVP01_1140400 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=PvP01_11_v2:1723452-1724311(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112900.1-p1   -            260 10609at5820          -            225   1.4e-21   75.3   1.8   1   1   2.8e-24     2e-21   74.8   1.8     4   217     7   239     4   246 0.76 | transcript=PVP01_0112900.1 | gene=PVP01_0112900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=PvP01_01_v2:585236-586743(-) | protein_length=260 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823100.1-p1   -            253 10609at5820          -            225   5.5e-17   60.3   3.1   1   1   9.5e-20   6.8e-17   60.0   3.1     6   192     8   200     5   231 0.82 | transcript=PVP01_0823100.1 | gene=PVP01_0823100 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=PvP01_08_v2:1038808-1039667(+) | protein_length=253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206900.1-p1   -            218 10609at5820          -            225    0.0012   16.7   0.0   1   1   2.4e-06    0.0018   16.1   0.0    51    96    32    77     6   100 0.72 | transcript=PVP01_0206900.1 | gene=PVP01_0206900 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=PvP01_02_v2:287397-288625(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1015600.1-p1   -            241 10609at5820          -            225     0.014   13.2   0.0   1   1   3.6e-05     0.026   12.3   0.0    29    91    35   100    27   119 0.80 | transcript=PVP01_1015600.1 | gene=PVP01_1015600 | organism=Plasmodium_vivax_P01 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=PvP01_10_v2:702214-703680(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
