#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1465300.1-p1   -            390 8201at5820           -            316  1.9e-195  647.0  16.6   1   2  3.2e-193  5.3e-190  629.2  10.8     1   297     1   302     1   311 0.97 | transcript=PVP01_1465300.1 | gene=PVP01_1465300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=PvP01_14_v2:2784980-2786152(+) | protein_length=390 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1465300.1-p1   -            390 8201at5820           -            316  1.9e-195  647.0  16.6   2   2   2.7e-08   4.5e-05   21.6   0.3   285   316   359   390   337   390 0.83 | transcript=PVP01_1465300.1 | gene=PVP01_1465300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor RBM22, putative | transcript_product=pre-mRNA-splicing factor RBM22, putative | location=PvP01_14_v2:2784980-2786152(+) | protein_length=390 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 8201at5820           -            316   2.1e-08   32.5   7.4   1   4      0.12     2e+02   -0.3   0.0   224   259    18    52     9    97 0.66 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 8201at5820           -            316   2.1e-08   32.5   7.4   2   4   0.00025      0.41    8.6   0.2   216   286    98   175    85   178 0.74 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 8201at5820           -            316   2.1e-08   32.5   7.4   3   4   3.2e-06    0.0051   14.8   0.6   198   273   170   250   168   261 0.75 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 8201at5820           -            316   2.1e-08   32.5   7.4   4   4   4.5e-05     0.073   11.0   0.0   211   258   438   485   419   525 0.78 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 8201at5820           -            316     0.047   11.7   1.8   1   2   3.2e-05     0.053   11.5   0.0   221   289     7    80     2    92 0.80 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1016700.1-p1   -            314 8201at5820           -            316     0.047   11.7   1.8   2   2      0.39   6.3e+02   -1.9   0.8   145   172   262   290   250   295 0.79 | transcript=PVP01_1016700.1 | gene=PVP01_1016700 | organism=Plasmodium_vivax_P01 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=PvP01_10_v2:743534-744685(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 8201at5820           -            316     0.069   11.1   1.2   1   2   0.00021      0.34    8.9   0.2   158   183     6    31     3    46 0.89 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0725700.1-p1   -           1243 8201at5820           -            316     0.069   11.1   1.2   2   2     0.086   1.4e+02    0.3   0.1   158   188    74   105    70   125 0.72 | transcript=PVP01_0725700.1 | gene=PVP01_0725700 | organism=Plasmodium_vivax_P01 | gene_product=gametocyte development protein GD1, putative | transcript_product=gametocyte development protein GD1, putative | location=PvP01_07_v2:1106661-1111059(+) | protein_length=1243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
