#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0114200.1-p1   -           1710 533at5820            -           1409         0 2918.6  32.6   1   3         0         0 1794.1  18.4     1   874     1   985     1   994 0.95 | transcript=PVP01_0114200.1 | gene=PVP01_0114200 | organism=Plasmodium_vivax_P01 | gene_product=ferlin-like protein, putative | transcript_product=ferlin-like protein, putative | location=PvP01_01_v2:632062-637515(+) | protein_length=1710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114200.1-p1   -           1710 533at5820            -           1409         0 2918.6  32.6   2   3   2.5e-18     8e-15   51.9   0.1   883   922  1138  1177  1127  1182 0.93 | transcript=PVP01_0114200.1 | gene=PVP01_0114200 | organism=Plasmodium_vivax_P01 | gene_product=ferlin-like protein, putative | transcript_product=ferlin-like protein, putative | location=PvP01_01_v2:632062-637515(+) | protein_length=1710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114200.1-p1   -           1710 533at5820            -           1409         0 2918.6  32.6   3   3         0         0 1073.2   1.8   933  1409  1234  1710  1196  1710 0.98 | transcript=PVP01_0114200.1 | gene=PVP01_0114200 | organism=Plasmodium_vivax_P01 | gene_product=ferlin-like protein, putative | transcript_product=ferlin-like protein, putative | location=PvP01_01_v2:632062-637515(+) | protein_length=1710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 533at5820            -           1409   1.8e-37  127.0  29.8   1   6    0.0009       2.9    3.7   1.1    30   116    20   110     7   121 0.76 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 533at5820            -           1409   1.8e-37  127.0  29.8   2   6   3.9e-09   1.3e-05   21.5   3.5   147   296   175   326   159   367 0.81 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 533at5820            -           1409   1.8e-37  127.0  29.8   3   6   6.4e-06     0.021   10.8   0.6   495   638   579   739   550   798 0.69 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 533at5820            -           1409   1.8e-37  127.0  29.8   4   6    0.0071        23    0.7   0.1   787   857  1002  1072   980  1086 0.67 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 533at5820            -           1409   1.8e-37  127.0  29.8   5   6   3.2e-06     0.011   11.8   0.0  1085  1158  1493  1571  1481  1580 0.86 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251300.1-p1   -           1903 533at5820            -           1409   1.8e-37  127.0  29.8   6   6   8.1e-31   2.7e-27   93.3   0.6  1165  1368  1651  1863  1634  1896 0.88 | transcript=PVP01_1251300.1 | gene=PVP01_1251300 | organism=Plasmodium_vivax_P01 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=PvP01_12_v2:2099317-2105028(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/533at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/533at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/533at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:16 2026
# [ok]
