#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1316000.1-p1   -           1501 1006at5820           -           1212         0 2659.4  64.3   1   3  3.4e-164  7.4e-161  535.8   6.3     1   247     5   261     5   265 0.97 | transcript=PVP01_1316000.1 | gene=PVP01_1316000 | organism=Plasmodium_vivax_P01 | gene_product=DNA topoisomerase 2, putative | transcript_product=DNA topoisomerase 2, putative | location=PvP01_13_v2:738860-743976(+) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316000.1-p1   -           1501 1006at5820           -           1212         0 2659.4  64.3   2   3         0         0 2095.0  43.7   245  1167   329  1274   324  1286 0.98 | transcript=PVP01_1316000.1 | gene=PVP01_1316000 | organism=Plasmodium_vivax_P01 | gene_product=DNA topoisomerase 2, putative | transcript_product=DNA topoisomerase 2, putative | location=PvP01_13_v2:738860-743976(+) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316000.1-p1   -           1501 1006at5820           -           1212         0 2659.4  64.3   3   3   4.1e-14   8.8e-11   38.7   0.4  1168  1207  1403  1444  1387  1447 0.89 | transcript=PVP01_1316000.1 | gene=PVP01_1316000 | organism=Plasmodium_vivax_P01 | gene_product=DNA topoisomerase 2, putative | transcript_product=DNA topoisomerase 2, putative | location=PvP01_13_v2:738860-743976(+) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457600.1-p1   -            992 1006at5820           -           1212   1.1e-19   68.1  13.1   1   3   0.00012      0.27    7.3   0.2    47   127   138   215   127   230 0.72 | transcript=PVP01_1457600.1 | gene=PVP01_1457600 | organism=Plasmodium_vivax_P01 | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=PvP01_14_v2:2502355-2505333(+) | protein_length=992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457600.1-p1   -            992 1006at5820           -           1212   1.1e-19   68.1  13.1   2   3   1.7e-16   3.7e-13   46.6   4.5   240   493   446   704   439   720 0.80 | transcript=PVP01_1457600.1 | gene=PVP01_1457600 | organism=Plasmodium_vivax_P01 | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=PvP01_14_v2:2502355-2505333(+) | protein_length=992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1457600.1-p1   -            992 1006at5820           -           1212   1.1e-19   68.1  13.1   3   3   4.3e-08   9.3e-05   18.7   0.1   493   531   747   785   731   819 0.81 | transcript=PVP01_1457600.1 | gene=PVP01_1457600 | organism=Plasmodium_vivax_P01 | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=PvP01_14_v2:2502355-2505333(+) | protein_length=992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441500.1-p1   -           1241 1006at5820           -           1212   9.3e-16   55.2   2.1   1   3   4.3e-19   9.3e-16   55.2   2.1   643   827   160   345   147   359 0.84 | transcript=PVP01_1441500.1 | gene=PVP01_1441500 | organism=Plasmodium_vivax_P01 | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=PvP01_14_v2:1796758-1800483(-) | protein_length=1241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441500.1-p1   -           1241 1006at5820           -           1212   9.3e-16   55.2   2.1   2   3         3   6.5e+03   -9.7  11.1   872  1000   432   564   422   605 0.69 | transcript=PVP01_1441500.1 | gene=PVP01_1441500 | organism=Plasmodium_vivax_P01 | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=PvP01_14_v2:1796758-1800483(-) | protein_length=1241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441500.1-p1   -           1241 1006at5820           -           1212   9.3e-16   55.2   2.1   3   3      0.95   2.1e+03   -5.6   3.0   987  1020   976  1010   970  1019 0.70 | transcript=PVP01_1441500.1 | gene=PVP01_1441500 | organism=Plasmodium_vivax_P01 | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=PvP01_14_v2:1796758-1800483(-) | protein_length=1241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1006at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1006at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1006at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:34 2026
# [ok]
