#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   1  12     2e-26   3.2e-23   79.2   0.7     1    70     1    84     1    89 0.88 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   2  12   1.7e-16   2.7e-13   46.3   3.6    66   115   109   158   103   174 0.91 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   3  12   8.2e-53   1.3e-49  166.7  24.1   110   264   199   371   165   387 0.81 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   4  12     1e-14   1.7e-11   40.3   7.6   272   367   433   552   419   561 0.75 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   5  12   1.6e-18   2.6e-15   52.9   9.7   332   416   582   665   578   718 0.76 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   6  12         4   6.5e+03  -20.0  31.0  1617  1671   725   783   676   799 0.58 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   7  12     1e-11   1.7e-08   30.4   6.0   387   456   815   888   805   921 0.75 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   8  12  1.2e-151    2e-148  494.5  50.1   471   764  1151  1467  1122  1471 0.91 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   9  12   1.9e-50   3.2e-47  158.8   1.7   763   867  1548  1666  1545  1673 0.85 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9  10  12  1.6e-185  2.6e-182  606.8  19.5   864  1224  1696  2093  1692  2139 0.92 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9  11  12  2.1e-222  3.5e-219  729.2  52.6  1228  1668  2155  2649  2143  2658 0.88 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
