#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   1   9   7.2e-88   4.7e-84  281.5  24.7     2   153    10   165     9   178 0.95 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   2   9   3.6e-32   2.4e-28   97.1   4.8   148   207   224   283   216   302 0.88 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   3   9  1.1e-229  7.1e-226  751.1  59.1   209   594   423   826   416   832 0.96 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   4   9   1.9e-75   1.2e-71  240.4  20.2   593   749   919  1084   894  1090 0.93 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   5   9     6e-17   3.9e-13   46.7   0.0   752   798  1143  1190  1119  1204 0.78 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   6   9   1.2e-85     8e-82  274.2  10.5   802   957  1255  1413  1239  1420 0.95 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   7   9   9.1e-22     6e-18   62.7   0.2   957  1001  1454  1501  1445  1523 0.82 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   8   9   0.00015      0.96    5.7   0.0  1006  1031  1577  1611  1562  1617 0.76 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256600.1-p1   -           1855 1374at5820           -           1085         0 1787.7 172.1   9   9   4.4e-22   2.9e-18   63.7   3.2  1035  1085  1805  1855  1772  1855 0.88 | transcript=PVP01_1256600.1 | gene=PVP01_1256600 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase ZNF598, putative | transcript_product=E3 ubiquitin-protein ligase ZNF598, putative | location=PvP01_12_v2:2324761-2330494(+) | protein_length=1855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1374at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:16 2026
# [ok]
