#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   1  12  6.6e-154  4.3e-150  500.1   5.3     2   263    40   301    39   322 0.96 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   2  12  4.2e-129  2.7e-125  417.8   1.3   249   509   356   629   349   637 0.95 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   3  12     2e-80   1.3e-76  256.5   9.4   506   666   650   809   646   823 0.95 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   4  12   1.1e-43   6.9e-40  134.7   0.0   676   788   889  1014   879  1020 0.85 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   5  12     8e-71   5.2e-67  224.6   0.8   788  1000  1054  1298  1051  1305 0.84 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   6  12   3.4e-55   2.2e-51  172.8   4.6  1007  1150  1332  1489  1322  1504 0.88 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   7  12   9.9e-14   6.4e-10   35.4   0.0  1152  1188  1536  1572  1527  1576 0.90 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   8  12   3.3e-46   2.1e-42  143.0   0.1  1186  1278  1607  1701  1604  1716 0.92 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   9  12     2e-14   1.3e-10   37.7   0.0  1283  1333  1798  1848  1791  1854 0.86 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0  10  12   2.4e-18   1.6e-14   50.7   0.0  1341  1410  1934  2008  1899  2015 0.77 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0  11  12   1.2e-62     8e-59  197.5   5.9  1417  1569  2088  2274  2074  2279 0.82 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
