#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   1  16   3.7e-21   2.4e-17   60.5   0.5     1    87   213   325   213   328 0.72 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   2  16   2.1e-11   1.4e-07   28.2   0.0    87   131   371   418   366   421 0.90 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   3  16   1.8e-65   1.2e-61  207.4   0.6   132   327   464   691   463   693 0.89 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   4  16   3.8e-38   2.5e-34  116.8   0.0   327   444   741   871   735   875 0.90 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   5  16   1.1e-43   7.3e-40  135.2   0.0   445   541   904  1000   900  1012 0.93 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   6  16   2.7e-53   1.7e-49  167.0   1.6   541   650  1110  1219  1104  1228 0.97 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   7  16     4e-80   2.6e-76  256.0  12.9   651   833  1284  1492  1278  1498 0.89 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   8  16     1e-54   6.7e-51  171.7  16.5   835   995  1538  1724  1535  1762 0.86 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   9  16   9.8e-05      0.64    6.1   0.0   994  1032  1770  1820  1750  1823 0.88 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8  10  16   2.8e-11   1.8e-07   27.8   0.0  1033  1067  1899  1933  1895  1937 0.93 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8  11  16   2.6e-47   1.7e-43  147.2   0.0  1064  1175  1973  2088  1969  2095 0.94 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8  12  16   1.1e-66   7.1e-63  211.4   2.6  1175  1336  2119  2291  2113  2294 0.92 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8  13  16     0.037   2.4e+02   -2.4   0.0  1335  1363  2321  2352  2320  2353 0.84 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8  14  16     3e-30     2e-26   90.6   0.1  1349  1424  2381  2460  2361  2461 0.85 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8  15  16   1.2e-52   7.8e-49  164.9   0.0  1424  1530  2520  2626  2517  2638 0.97 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
