#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0914200.1-p1   -            394 9916at5820           -            296  3.1e-155  514.4  46.5   1   3   5.9e-47   4.3e-44  149.5   0.1     1    76     1    76     1    85 0.98 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 9916at5820           -            296  3.1e-155  514.4  46.5   2   3   2.4e-64   1.8e-61  206.6  26.6    69   207   111   275    96   281 0.85 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 9916at5820           -            296  3.1e-155  514.4  46.5   3   3   6.6e-51   4.8e-48  162.5   7.3   200   296   291   394   289   394 0.96 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 9916at5820           -            296   1.8e-21   75.3   0.3   1   2   8.4e-13   6.1e-10   37.4   0.1     6    73     4    71     1    84 0.92 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311000.1-p1   -            153 9916at5820           -            296   1.8e-21   75.3   0.3   2   2   1.3e-12   9.4e-10   36.8   0.0     5    72    79   146    76   150 0.94 | transcript=PVP01_1311000.1 | gene=PVP01_1311000 | organism=Plasmodium_vivax_P01 | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=PvP01_13_v2:513368-514321(+) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932800.1-p1   -            871 9916at5820           -            296   2.7e-12   45.1   4.6   1   2   7.9e-10   5.8e-07   27.6   2.4     5   175   145   318   141   334 0.76 | transcript=PVP01_0932800.1 | gene=PVP01_0932800 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_09_v2:1404496-1407111(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932800.1-p1   -            871 9916at5820           -            296   2.7e-12   45.1   4.6   2   2   1.4e-06     0.001   17.0   0.0   252   291   824   863   811   866 0.89 | transcript=PVP01_0932800.1 | gene=PVP01_0932800 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_09_v2:1404496-1407111(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106100.1-p1   -            128 9916at5820           -            296   9.4e-09   33.5   0.0   1   1   1.4e-11     1e-08   33.3   0.0     6    73     4    71     1    92 0.92 | transcript=PVP01_1106100.1 | gene=PVP01_1106100 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=PvP01_11_v2:247411-248217(+) | protein_length=128 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413900.1-p1   -             76 9916at5820           -            296   1.7e-06   26.0   0.0   1   1   2.6e-09   1.9e-06   26.0   0.0     7    72     5    70     1    74 0.94 | transcript=PVP01_1413900.1 | gene=PVP01_1413900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=PvP01_14_v2:615074-615591(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720600.1-p1   -           1441 9916at5820           -            296   5.4e-06   24.4   0.8   1   1   2.4e-08   1.8e-05   22.7   0.8     3   125     7   129     5   145 0.81 | transcript=PVP01_0720600.1 | gene=PVP01_0720600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=PvP01_07_v2:892137-897609(+) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455900.1-p1   -             73 9916at5820           -            296    0.0025   15.7   0.1   1   1   3.4e-06    0.0025   15.7   0.1    11    71    10    70     1    73 0.91 | transcript=PVP01_1455900.1 | gene=PVP01_1455900 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin-like modifier HUB1, putative | transcript_product=ubiquitin-like modifier HUB1, putative | location=PvP01_14_v2:2427272-2427594(+) | protein_length=73 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 9916at5820           -            296     0.022   12.6   0.0   1   1   4.6e-05     0.033   12.0   0.0     4    77     5    77     1    81 0.85 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519600.1-p1   -            391 9916at5820           -            296     0.026   12.3   0.1   1   1   5.8e-05     0.042   11.7   0.1    13    72   116   173   112   194 0.84 | transcript=PVP01_0519600.1 | gene=PVP01_0519600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=PvP01_05_v2:805663-807021(+) | protein_length=391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9916at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9916at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9916at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:14 2026
# [ok]
