#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0732500.1-p1   -            671 5700at5820           -            479  2.1e-241  800.3  19.6   1   4   1.9e-31   2.1e-28   97.8   0.1     1    79     1   103     1   119 0.81 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732500.1-p1   -            671 5700at5820           -            479  2.1e-241  800.3  19.6   2   4   2.6e-08   2.9e-05   21.6   0.0    76    97   139   160   135   168 0.90 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732500.1-p1   -            671 5700at5820           -            479  2.1e-241  800.3  19.6   3   4  5.6e-144  6.1e-141  468.9   9.4    97   356   205   500   201   509 0.91 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732500.1-p1   -            671 5700at5820           -            479  2.1e-241  800.3  19.6   4   4   8.7e-67   9.4e-64  214.4   0.1   360   479   550   670   539   670 0.98 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116500.1-p1   -            452 5700at5820           -            479   2.7e-26   90.9   9.5   1   2   4.8e-06    0.0052   14.1   0.3     3    92     5    92     3    95 0.68 | transcript=PVP01_0116500.1 | gene=PVP01_0116500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=PvP01_01_v2:745540-746898(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116500.1-p1   -            452 5700at5820           -            479   2.7e-26   90.9   9.5   2   2     5e-26   5.4e-23   80.0   5.2   106   318    86   299    78   320 0.81 | transcript=PVP01_0116500.1 | gene=PVP01_0116500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=PvP01_01_v2:745540-746898(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270600.1-p1   -            506 5700at5820           -            479   4.7e-17   60.4  28.6   1   3   2.4e-06    0.0026   15.1   0.5     3    93     5   103     3   105 0.68 | transcript=PVP01_1270600.1 | gene=PVP01_1270600 | organism=Plasmodium_vivax_P01 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=PvP01_12_v2:2982189-2983709(+) | protein_length=506 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270600.1-p1   -            506 5700at5820           -            479   4.7e-17   60.4  28.6   2   3     3e-19   3.3e-16   57.6  11.9   106   320    96   316    91   322 0.81 | transcript=PVP01_1270600.1 | gene=PVP01_1270600 | organism=Plasmodium_vivax_P01 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=PvP01_12_v2:2982189-2983709(+) | protein_length=506 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270600.1-p1   -            506 5700at5820           -            479   4.7e-17   60.4  28.6   3   3     0.056        61    0.7   3.2   375   474   330   433   319   438 0.63 | transcript=PVP01_1270600.1 | gene=PVP01_1270600 | organism=Plasmodium_vivax_P01 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=PvP01_12_v2:2982189-2983709(+) | protein_length=506 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808400.1-p1   -            445 5700at5820           -            479     5e-17   60.3   0.0   1   3   0.00039      0.42    7.8   0.0     3    72     4    73     2    77 0.70 | transcript=PVP01_0808400.1 | gene=PVP01_0808400 | organism=Plasmodium_vivax_P01 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=PvP01_08_v2:376354-378565(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808400.1-p1   -            445 5700at5820           -            479     5e-17   60.3   0.0   2   3   7.9e-17   8.6e-14   49.7   0.0   107   236    86   213    83   243 0.89 | transcript=PVP01_0808400.1 | gene=PVP01_0808400 | organism=Plasmodium_vivax_P01 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=PvP01_08_v2:376354-378565(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808400.1-p1   -            445 5700at5820           -            479     5e-17   60.3   0.0   3   3      0.79   8.6e+02   -3.1   0.0   415   474   364   423   356   425 0.78 | transcript=PVP01_0808400.1 | gene=PVP01_0808400 | organism=Plasmodium_vivax_P01 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=PvP01_08_v2:376354-378565(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702100.1-p1   -            453 5700at5820           -            479   3.1e-16   57.7   0.0   1   3     0.036        39    1.3   0.0    57    74    60    77    56    83 0.88 | transcript=PVP01_0702100.1 | gene=PVP01_0702100 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=PvP01_07_v2:135347-137437(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702100.1-p1   -            453 5700at5820           -            479   3.1e-16   57.7   0.0   2   3     2e-16   2.1e-13   48.4   0.0   106   308    87   289    78   297 0.85 | transcript=PVP01_0702100.1 | gene=PVP01_0702100 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=PvP01_07_v2:135347-137437(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
