#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1215900.1-p1   -            565 5037at5820           -            422  1.1e-218  724.7  34.1   1   3    0.0019       1.3    6.3   0.0     7    55    28    75    24    95 0.73 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 5037at5820           -            422  1.1e-218  724.7  34.1   2   3   2.3e-96   1.6e-93  312.4   5.8    22   197    95   282    88   299 0.91 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1215900.1-p1   -            565 5037at5820           -            422  1.1e-218  724.7  34.1   3   3  1.2e-126  8.5e-124  412.1  18.8   193   419   305   544   297   547 0.95 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5037at5820           -            422   2.3e-44  150.5  59.8   1   6   1.9e-17   1.4e-14   52.4  15.4   224   405    97   280    93   290 0.84 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5037at5820           -            422   2.3e-44  150.5  59.8   2   6   8.4e-12   6.1e-09   33.7   3.8   236   339   308   409   285   417 0.83 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5037at5820           -            422   2.3e-44  150.5  59.8   3   6   4.7e-05     0.034   11.5   0.1   284   356   658   727   651   729 0.77 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5037at5820           -            422   2.3e-44  150.5  59.8   4   6     4e-14   2.9e-11   41.4   2.2   259   358   715   812   712   820 0.88 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5037at5820           -            422   2.3e-44  150.5  59.8   5   6   3.9e-10   2.9e-07   28.3   8.5   259   363   894   993   881  1015 0.85 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452800.1-p1   -           1098 5037at5820           -            422   2.3e-44  150.5  59.8   6   6    0.0048       3.5    4.9   0.0   186   221  1015  1054  1003  1067 0.65 | transcript=PVP01_1452800.1 | gene=PVP01_1452800 | organism=Plasmodium_vivax_P01 | gene_product=upregulated in late gametocytes ULG8, putative | transcript_product=upregulated in late gametocytes ULG8, putative | location=PvP01_14_v2:2306166-2309604(-) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5037at5820           -            422   4.1e-38  129.9  50.3   1   4   1.5e-12   1.1e-09   36.2  10.3    39   191   153   317   111   317 0.65 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5037at5820           -            422   4.1e-38  129.9  50.3   2   4   6.1e-28   4.4e-25   86.9  15.5   236   405   254   423   249   427 0.90 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5037at5820           -            422   4.1e-38  129.9  50.3   3   4   4.2e-11   3.1e-08   31.4   3.2   288   355   431   497   421   507 0.87 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904300.1-p1   -            585 5037at5820           -            422   4.1e-38  129.9  50.3   4   4   3.2e-06    0.0023   15.4   0.2   128   168   511   550   495   574 0.84 | transcript=PVP01_0904300.1 | gene=PVP01_0904300 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_09_v2:267250-270889(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 5037at5820           -            422   1.6e-37  127.9  62.9   1   3   2.2e-07   0.00016   19.2   4.9   344   405   211   274   190   280 0.79 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
