#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   1   9   2.5e-93   2.3e-90  302.2  31.2     1   229    13   264    13   269 0.92 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   2   9  2.2e-208    2e-205  683.8  70.3   219   687   294   827   290   833 0.90 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   3   9   4.6e-06    0.0043   12.8   0.2   682   706   860   884   846   888 0.86 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   4   9  2.5e-162  2.3e-159  531.0  32.3   706  1046   936  1302   932  1314 0.94 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   5   9  1.9e-156  1.8e-153  511.5  21.7  1042  1321  1426  1706  1421  1719 0.98 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   6   9   9.5e-56   8.8e-53  177.6   1.8  1316  1421  1733  1854  1729  1858 0.91 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   7   9  8.3e-262  7.8e-259  860.9  27.7  1421  1841  1939  2370  1932  2386 0.97 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   8   9   1.1e-51   1.1e-48  164.1   9.0  1840  1966  2415  2549  2408  2561 0.85 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   9   9      0.16   1.5e+02   -2.2   0.1  1939  1971  2577  2609  2568  2613 0.79 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 327at5820            -           1976     1e-51  174.1  51.3   1   6      0.15   1.4e+02   -2.1   0.7  1128  1204   117   193    60   208 0.76 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 327at5820            -           1976     1e-51  174.1  51.3   2   6    0.0034       3.2    3.3   2.1   359  1313   312   398   291   406 0.56 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 327at5820            -           1976     1e-51  174.1  51.3   3   6   1.6e-11   1.4e-08   31.0   0.1  1331  1376   619   663   607   671 0.87 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 327at5820            -           1976     1e-51  174.1  51.3   4   6   3.2e-07   0.00029   16.7   0.3  1390  1435   907   951   894   982 0.71 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 327at5820            -           1976     1e-51  174.1  51.3   5   6   3.4e-35   3.2e-32  109.4   1.7  1588  1710   982  1110   975  1122 0.88 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 327at5820            -           1976     1e-51  174.1  51.3   6   6   1.7e-12   1.6e-09   34.2  14.9  1746  1954  1209  1445  1194  1463 0.57 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 327at5820            -           1976   3.2e-50  169.1   3.4   1   3   8.3e-12   7.8e-09   31.9   0.1  1332  1416   827   898   814   912 0.85 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 327at5820            -           1976   3.2e-50  169.1   3.4   2   3   1.5e-36   1.4e-33  113.9   0.1  1548  1836   913  1206   908  1208 0.83 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
