#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1434000.1-p1   -            276 9251at5820           -            230  4.9e-146  482.8  10.6   1   1  1.8e-148  1.3e-145  481.3  10.6     1   230    11   263    11   263 0.96 | transcript=PVP01_1434000.1 | gene=PVP01_1434000 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_14_v2:1457406-1458236(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916400.1-p1   -            193 9251at5820           -            230   2.7e-38  130.3   0.6   1   1   4.3e-41   3.1e-38  130.1   0.6    36   202    24   192    16   193 0.96 | transcript=PVP01_0916400.1 | gene=PVP01_0916400 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=PvP01_09_v2:736280-737370(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818200.1-p1   -            170 9251at5820           -            230     4e-38  129.7   0.1   1   1   6.1e-41   4.4e-38  129.6   0.1    40   201     3   168     1   170 0.96 | transcript=PVP01_0818200.1 | gene=PVP01_0818200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_08_v2:789722-790234(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0115700.1-p1   -            262 9251at5820           -            230   1.1e-28   98.8   1.7   1   1     2e-31   1.4e-28   98.5   1.7    41   201    93   260    83   262 0.90 | transcript=PVP01_0115700.1 | gene=PVP01_0115700 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative, peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=PvP01_01_v2:702548-703336(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301700.1-p1   -            226 9251at5820           -            230   6.4e-24   83.2   0.1   1   1   1.1e-26   8.1e-24   82.9   0.1    42   202     7   173     2   190 0.90 | transcript=PVP01_1301700.1 | gene=PVP01_1301700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_13_v2:84447-86136(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005100.1-p1   -            203 9251at5820           -            230   1.4e-18   65.7   0.3   1   1   2.7e-21   1.9e-18   65.3   0.3    23   200    24   196    17   202 0.80 | transcript=PVP01_1005100.1 | gene=PVP01_1005100 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:242428-243039(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 9251at5820           -            230   4.5e-16   57.6   0.1   1   2      0.75   5.4e+02   -1.6   0.3   167   208   454   496   438   516 0.72 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 9251at5820           -            230   4.5e-16   57.6   0.1   2   2   6.2e-19   4.5e-16   57.6   0.1    49   201   580   728   549   731 0.87 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916900.1-p1   -            167 9251at5820           -            230   1.3e-15   56.0   0.2   1   1   2.2e-18   1.6e-15   55.7   0.2    55   199    10   151     1   163 0.84 | transcript=PVP01_0916900.1 | gene=PVP01_0916900 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:757527-759141(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117200.1-p1   -            590 9251at5820           -            230   1.7e-10   39.3   0.3   1   2   1.3e-05    0.0095   14.0   0.1    40    99     4    68     2    92 0.80 | transcript=PVP01_0117200.1 | gene=PVP01_0117200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_01_v2:778390-780162(-) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117200.1-p1   -            590 9251at5820           -            230   1.7e-10   39.3   0.3   2   2   2.1e-08   1.5e-05   23.1   0.0   116   200   107   192    88   199 0.87 | transcript=PVP01_0117200.1 | gene=PVP01_0117200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_01_v2:778390-780162(-) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9251at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9251at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9251at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:17 2026
# [ok]
