#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   1  15         1   6.5e+03  -15.7  21.4   438   865    53   185    19   283 0.48 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   2  15   1.6e-21     1e-17   61.9   4.6    11    93   296   385   285   389 0.81 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   3  15   3.3e-19   2.1e-15   54.3   0.1   110   149   441   480   408   504 0.85 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   4  15   1.4e-36   8.8e-33  111.8   0.3   154   237   534   620   520   623 0.92 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   5  15   8.1e-75   5.3e-71  238.4  12.6   230   366   640   792   636   805 0.90 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   6  15   1.4e-15   8.9e-12   42.3   3.8   364   405   844   885   835   893 0.87 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   7  15         1   6.5e+03   -8.1  28.6   395   480   967  1055   957  1073 0.69 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   8  15   8.1e-07    0.0053   13.3   1.6   407   476  1073  1143  1053  1169 0.77 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   9  15   0.00037       2.4    4.4   0.4   496   534  1283  1321  1227  1335 0.68 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5  10  15   2.1e-16   1.4e-12   45.0  10.6   520   621  1467  1573  1442  1586 0.75 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5  11  15     3e-22     2e-18   64.3   5.8   616   724  1626  1732  1609  1739 0.74 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
