#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   1  22         6   6.5e+03  -13.1  11.9    18   345   483   528   463   553 0.42 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   2  22     0.007       7.6    2.0  21.7     5    84   564   643   559   680 0.65 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   3  22   0.00097       1.1    4.9  10.9    35   107   698   782   660   793 0.59 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   4  22   9.8e-05      0.11    8.2   7.7    95   141   860   908   850   947 0.81 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   5  22     1e-43   1.1e-40  137.5  33.6   132   336   964  1210   906  1226 0.74 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   6  22         6   6.5e+03   -9.1  21.0   305   364  1264  1325  1257  1333 0.53 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   7  22         6   6.5e+03  -12.5  17.5   299   365  1331  1402  1323  1417 0.62 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   8  22  6.6e-174  7.1e-171  569.3  20.0   312   608  1432  1730  1415  1753 0.93 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   9  22   0.00035      0.38    6.3  14.9   611   689  1789  1880  1785  1918 0.72 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  10  22      0.45   4.9e+02   -4.0  14.3   617   707  1873  1997  1864  2009 0.66 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  11  22   7.1e-22   7.7e-19   65.0   5.3   709   793  2045  2139  2039  2141 0.88 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  12  22  6.6e-157  7.2e-154  512.8  13.7   779  1119  2233  2574  2203  2584 0.87 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  13  22      0.02        21    0.5   0.3  1054  1085  2661  2692  2642  2704 0.78 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  14  22   2.5e-05     0.027   10.2  18.4  1086  1172  2722  2808  2711  2826 0.62 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  15  22   4.6e-10     5e-07   25.8  13.2  1111  1153  2922  2965  2884  2997 0.76 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
