#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1009500.1-p1   -            365 8151at5820           -            356  5.8e-244  807.1   8.5   1   1  1.1e-246  6.5e-244  806.9   8.5     1   356     1   365     1   365 0.99 | transcript=PVP01_1009500.1 | gene=PVP01_1009500 | organism=Plasmodium_vivax_P01 | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=PvP01_10_v2:422852-423949(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113000.1-p1   -            367 8151at5820           -            356  1.4e-130  434.0   6.8   1   1  2.7e-133  1.6e-130  433.9   6.8     1   355     1   365     1   366 0.96 | transcript=PVP01_1113000.1 | gene=PVP01_1113000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_11_v2:563234-566336(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1136200.1-p1   -            818 8151at5820           -            356   3.3e-08   31.5   0.0   1   1   1.1e-10   6.7e-08   30.5   0.0    65   154   173   264   167   317 0.80 | transcript=PVP01_1136200.1 | gene=PVP01_1136200 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=PvP01_11_v2:1549548-1552004(-) | protein_length=818 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 8151at5820           -            356   5.5e-08   30.8   0.1   1   2   2.8e-08   1.7e-05   22.6   0.0    64   151   293   383   275   396 0.85 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 8151at5820           -            356   5.5e-08   30.8   0.1   2   2    0.0037       2.2    5.8   0.0    63   124   568   632   550   686 0.84 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 8151at5820           -            356   8.5e-07   26.9   0.7   1   2      0.65   3.9e+02   -1.6   0.2   180   212   299   331   289   363 0.80 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521200.1-p1   -            643 8151at5820           -            356   8.5e-07   26.9   0.7   2   2   3.9e-09   2.3e-06   25.4   0.0    64   128   461   529   452   566 0.77 | transcript=PVP01_0521200.1 | gene=PVP01_0521200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_05_v2:863369-865300(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 8151at5820           -            356   2.9e-06   25.1   0.1   1   2     6e-08   3.5e-05   21.6   0.0    64   153   106   199   102   211 0.81 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 8151at5820           -            356   2.9e-06   25.1   0.1   2   2      0.11        68    0.9   0.0   234   254   326   346   318   397 0.88 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 8151at5820           -            356   6.2e-06   24.0   0.1   1   2   3.4e-08     2e-05   22.4   0.0    64   105   224   265   208   273 0.90 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337300.1-p1   -            570 8151at5820           -            356   6.2e-06   24.0   0.1   2   2       1.2   7.2e+02   -2.5   0.0   107   148   336   378   324   392 0.66 | transcript=PVP01_1337300.1 | gene=PVP01_1337300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=PvP01_13_v2:1604816-1606528(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510000.1-p1   -            747 8151at5820           -            356    0.0001   20.0   0.0   1   1   3.1e-07   0.00019   19.2   0.0    65   150   408   494   404   507 0.93 | transcript=PVP01_0510000.1 | gene=PVP01_0510000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=PvP01_05_v2:442521-444764(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 8151at5820           -            356    0.0012   16.5   0.6   1   2      0.45   2.6e+02   -1.1   0.0   167   233   239   307   217   315 0.68 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326000.1-p1   -            533 8151at5820           -            356    0.0012   16.5   0.6   2   2   6.5e-06    0.0039   14.9   0.1    60   120   318   376   310   389 0.77 | transcript=PVP01_1326000.1 | gene=PVP01_1326000 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=PvP01_13_v2:1132456-1134057(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0902900.1-p1   -            269 8151at5820           -            356    0.0052   14.4   0.3   1   1   1.5e-05    0.0089   13.7   0.3   196   226    12    42     2    61 0.82 | transcript=PVP01_0902900.1 | gene=PVP01_0902900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:198272-199210(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914300.1-p1   -            725 8151at5820           -            356       7.7    4.0  18.4   1   2   0.00069      0.41    8.2   0.2    59   168   473   586   441   590 0.77 | transcript=PVP01_0914300.1 | gene=PVP01_0914300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_09_v2:659890-662067(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914300.1-p1   -            725 8151at5820           -            356       7.7    4.0  18.4   2   2    0.0001     0.059   10.9   0.6   234   285   588   646   574   672 0.80 | transcript=PVP01_0914300.1 | gene=PVP01_0914300 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_09_v2:659890-662067(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8151at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:12 2026
# [ok]
