#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1207000.1-p1   -            250 11856at5820          -            225  6.5e-115  380.8  26.0   1   1    1e-117  7.4e-115  380.6  26.0     1   225     1   241     1   241 0.95 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 11856at5820          -            225   2.1e-26   91.3  25.6   1   2   6.7e-23   4.9e-20   70.5  17.3     4   146    14   159    12   170 0.91 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 11856at5820          -            225   2.1e-26   91.3  25.6   2   2   2.9e-09   2.1e-06   25.9   1.2   149   219   264   334   260   345 0.81 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 11856at5820          -            225     6e-22   76.7  72.8   1   3   4.3e-12   3.1e-09   35.2  19.3    37   120    27   113    15   114 0.92 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 11856at5820          -            225     6e-22   76.7  72.8   2   3   7.2e-16   5.2e-13   47.5  19.3    38   153    72   188    71   191 0.86 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617900.1-p1   -            317 11856at5820          -            225     6e-22   76.7  72.8   3   3   9.2e-08   6.7e-05   21.0  18.1    39   154   158   283   156   297 0.80 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 11856at5820          -            225   9.3e-11   40.1  15.3   1   1   1.5e-13   1.1e-10   39.9  15.3    73   206    22   163     7   175 0.84 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11856at5820          -            225   3.6e-09   34.9  86.2   1   7   3.6e-07   0.00026   19.0  12.2    39   145    40   149     6   152 0.80 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11856at5820          -            225   3.6e-09   34.9  86.2   2   7   8.7e-06    0.0063   14.5   5.8    90   205   115   239   107   263 0.73 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11856at5820          -            225   3.6e-09   34.9  86.2   3   7     0.029        21    3.0   0.2   106   149   820   863   774   906 0.66 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11856at5820          -            225   3.6e-09   34.9  86.2   4   7     0.062        45    1.9  19.9    41   166   989  1121   977  1144 0.76 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11856at5820          -            225   3.6e-09   34.9  86.2   5   7    0.0025       1.8    6.5   4.6    88   145  1153  1211  1108  1218 0.80 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
