#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1017300.1-p1   -           1342 1318at5820           -            924         0 1742.9  71.4   1   6  4.8e-115  7.9e-112  373.3   5.6     1   223     9   247     9   256 0.94 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1318at5820           -            924         0 1742.9  71.4   2   6  3.5e-181  5.7e-178  592.2   3.9   220   484   314   579   306   588 0.98 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1318at5820           -            924         0 1742.9  71.4   3   6   4.2e-55   6.9e-52  174.9  16.7   482   612   610   774   607   776 0.86 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1318at5820           -            924         0 1742.9  71.4   4   6      0.05        82   -0.7   0.1   602   621   803   823   790   828 0.73 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1318at5820           -            924         0 1742.9  71.4   5   6   3.9e-21   6.4e-18   62.5   0.1   588   668   901   988   896   989 0.84 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1318at5820           -            924         0 1742.9  71.4   6   6  5.5e-172    9e-169  561.8  13.3   667   924  1081  1342  1075  1342 0.98 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 1318at5820           -            924   9.1e-08   28.9  24.0   1   4      0.97   1.6e+03   -4.9   1.9   176   252   117   198    89   212 0.58 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 1318at5820           -            924   9.1e-08   28.9  24.0   2   4   1.5e-06    0.0024   14.3   2.4   228   296   325   393   307   494 0.79 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 1318at5820           -            924   9.1e-08   28.9  24.0   3   4   1.8e-05     0.029   10.7   0.1   740   814   592   659   538   665 0.89 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 1318at5820           -            924   9.1e-08   28.9  24.0   4   4     3e-07   0.00049   16.6   0.9   837   892   822   877   813   879 0.83 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334200.1-p1   -           1221 1318at5820           -            924   1.7e-06   24.7  19.3   1   3     0.043        69   -0.5   0.1   231   263   625   656   595   661 0.77 | transcript=PVP01_1334200.1 | gene=PVP01_1334200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=PvP01_13_v2:1471560-1475225(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
