#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1255300.1-p1   -            177 12402at5820          -            157  1.8e-105  347.9  12.4   1   1  4.7e-108  2.1e-105  347.7  12.4     1   157     8   164     8   164 1.00 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12402at5820          -            157   2.8e-16   58.1   5.0   1   2   2.7e-08   1.2e-05   23.6   0.0    90   153    11    69     4    72 0.88 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12402at5820          -            157   2.8e-16   58.1   5.0   2   2   7.8e-14   3.4e-11   41.6   2.2    58   156    52   145    49   147 0.90 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 12402at5820          -            157   3.1e-13   48.2   1.2   1   1   8.8e-16   3.8e-13   47.9   1.2    11   155    17   160     8   162 0.89 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12402at5820          -            157   1.3e-10   39.7   7.0   1   2         4   1.8e+03   -3.0   0.0    39    51   112   124   110   172 0.66 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 12402at5820          -            157   1.3e-10   39.7   7.0   2   2   5.3e-13   2.3e-10   38.9   5.9    12   156   415   558   406   559 0.86 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 12402at5820          -            157   1.9e-10   39.2   6.2   1   1   1.7e-12   7.2e-10   37.3   6.2    25   155    31   160    17   162 0.85 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 12402at5820          -            157   5.3e-09   34.5   2.0   1   1   2.9e-11   1.3e-08   33.2   2.0    12   157   454   600   446   600 0.77 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103100.1-p1   -            107 12402at5820          -            157   3.6e-08   31.8   0.8   1   1   9.9e-11   4.3e-08   31.5   0.8    13    79    38   104    25   106 0.92 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 12402at5820          -            157   2.5e-07   29.0   6.5   1   1   3.6e-09   1.6e-06   26.4   6.5    24   155    41   171    31   173 0.81 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 12402at5820          -            157   3.5e-07   28.5   1.1   1   2       0.2        86    1.3   0.4    15    67  1184  1235  1171  1270 0.81 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923400.1-p1   -           1607 12402at5820          -            157   3.5e-07   28.5   1.1   2   2   8.1e-10   3.5e-07   28.5   1.1    18   121  1463  1566  1451  1603 0.74 | transcript=PVP01_0923400.1 | gene=PVP01_0923400 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=PvP01_09_v2:1021123-1026936(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 12402at5820          -            157   9.4e-07   27.1   5.1   1   1   2.7e-09   1.2e-06   26.8   5.1    18   156    14   151     3   152 0.84 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 12402at5820          -            157     1e-05   23.8  11.7   1   2    0.0013      0.56    8.4   0.5    95   154    67   121    43   124 0.75 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 12402at5820          -            157     1e-05   23.8  11.7   2   2   5.3e-07   0.00023   19.4   5.0    17   115   134   237   125   258 0.78 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12402at5820          -            157   8.9e-05   20.7   8.6   1   2       2.3     1e+03   -2.2   0.1    17    45    96   124    92   141 0.80 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12402at5820          -            157   8.9e-05   20.7   8.6   2   2   4.4e-07   0.00019   19.7   5.0    15   157   373   523   359   523 0.72 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0923700.1-p1   -           1979 12402at5820          -            157   0.00027   19.2   0.6   1   1   1.4e-06   0.00062   18.0   0.6    56   116    66   125     9   137 0.71 | transcript=PVP01_0923700.1 | gene=PVP01_0923700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=PvP01_09_v2:1058515-1064613(+) | protein_length=1979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 12402at5820          -            157    0.0015   16.7   0.3   1   2   1.6e-05    0.0067   14.6   0.1     7    96    17   107    12   120 0.78 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204500.1-p1   -           1501 12402at5820          -            157    0.0015   16.7   0.3   2   2       2.3     1e+03   -2.2   0.0   115   131  1145  1161  1134  1173 0.81 | transcript=PVP01_0204500.1 | gene=PVP01_0204500 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_02_v2:210931-216421(-) | protein_length=1501 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
