#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1206700.1-p1   -            224 11318at5820          -            201  7.2e-114  377.0  13.2   1   1  1.4e-116  1.2e-113  376.3  13.2     1   201     1   223     1   223 0.93 | transcript=PVP01_1206700.1 | gene=PVP01_1206700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=PvP01_12_v2:270793-272925(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 11318at5820          -            201   1.2e-09   36.7   0.0   1   2         1   8.2e+02   -1.9   0.0    10    33    14    37    10    41 0.80 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208000.1-p1   -            194 11318at5820          -            201   1.2e-09   36.7   0.0   2   2   3.6e-12   2.9e-09   35.5   0.0   100   180    79   165    57   179 0.84 | transcript=PVP01_0208000.1 | gene=PVP01_0208000 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=PvP01_02_v2:333879-335555(-) | protein_length=194 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449300.1-p1   -            213 11318at5820          -            201   3.9e-07   28.5   0.0   1   1     7e-10   5.7e-07   28.0   0.0   100   196    79   181    61   185 0.77 | transcript=PVP01_1449300.1 | gene=PVP01_1449300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=PvP01_14_v2:2135325-2136787(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 11318at5820          -            201   9.2e-06   24.1   0.7   1   2      0.17   1.4e+02    0.6   0.0     6    26    14    34    11    44 0.82 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0945600.1-p1   -            207 11318at5820          -            201   9.2e-06   24.1   0.7   2   2   6.3e-08   5.1e-05   21.6   0.1   102   182    85   171    72   194 0.75 | transcript=PVP01_0945600.1 | gene=PVP01_0945600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=PvP01_09_v2:1987820-1989251(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214100.1-p1   -            229 11318at5820          -            201   0.00031   19.1   0.8   1   1   9.7e-07   0.00079   17.8   0.8    95   186    76   179    65   194 0.73 | transcript=PVP01_1214100.1 | gene=PVP01_1214100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=PvP01_12_v2:601290-602627(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0826700.1-p1   -            770 11318at5820          -            201    0.0048   15.2   0.6   1   3     0.031        26    3.0   0.0     4    40    12    48     9   118 0.71 | transcript=PVP01_0826700.1 | gene=PVP01_0826700 | organism=Plasmodium_vivax_P01 | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=PvP01_08_v2:1182748-1185060(-) | protein_length=770 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0826700.1-p1   -            770 11318at5820          -            201    0.0048   15.2   0.6   2   3   0.00038      0.31    9.3   0.0     4    58   481   534   480   551 0.80 | transcript=PVP01_0826700.1 | gene=PVP01_0826700 | organism=Plasmodium_vivax_P01 | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=PvP01_08_v2:1182748-1185060(-) | protein_length=770 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0826700.1-p1   -            770 11318at5820          -            201    0.0048   15.2   0.6   3   3      0.98     8e+02   -1.9   0.1    29    56   584   611   555   633 0.71 | transcript=PVP01_0826700.1 | gene=PVP01_0826700 | organism=Plasmodium_vivax_P01 | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=PvP01_08_v2:1182748-1185060(-) | protein_length=770 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701600.1-p1   -            206 11318at5820          -            201    0.0073   14.6   1.1   1   2    0.0038       3.1    6.0   0.2     3    28     8    33     6    65 0.87 | transcript=PVP01_0701600.1 | gene=PVP01_0701600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=PvP01_07_v2:90611-93019(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
