#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1342100.1-p1   -           1226 2123at5820           -            973         0 1789.3  58.2   1   2   5.2e-60   8.5e-57  191.1  11.9     1   169     1   227     1   247 0.92 | transcript=PVP01_1342100.1 | gene=PVP01_1342100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=PvP01_13_v2:1847278-1850958(-) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342100.1-p1   -           1226 2123at5820           -            973         0 1789.3  58.2   2   2         0         0 1601.2  38.3   170   972   286  1225   265  1226 0.97 | transcript=PVP01_1342100.1 | gene=PVP01_1342100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | transcript_product=ATP-dependent Clp protease regulatory subunit ClpC, putative | location=PvP01_13_v2:1847278-1850958(-) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518700.1-p1   -           1090 2123at5820           -            973  2.7e-141  470.7  17.7   1   4     0.043        70   -0.6   0.0    73   115   281   323   269   353 0.76 | transcript=PVP01_0518700.1 | gene=PVP01_0518700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=PvP01_05_v2:775393-778665(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518700.1-p1   -           1090 2123at5820           -            973  2.7e-141  470.7  17.7   2   4   3.1e-72     5e-69  231.5   0.0   310   551   350   593   313   617 0.91 | transcript=PVP01_0518700.1 | gene=PVP01_0518700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=PvP01_05_v2:775393-778665(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518700.1-p1   -           1090 2123at5820           -            973  2.7e-141  470.7  17.7   3   4   2.3e-62   3.7e-59  198.9   1.1   584   786   756   959   710   966 0.89 | transcript=PVP01_0518700.1 | gene=PVP01_0518700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=PvP01_05_v2:775393-778665(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518700.1-p1   -           1090 2123at5820           -            973  2.7e-141  470.7  17.7   4   4   4.1e-16   6.8e-13   45.7   6.0   836   955   967  1082   961  1086 0.93 | transcript=PVP01_0518700.1 | gene=PVP01_0518700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=PvP01_05_v2:775393-778665(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917400.1-p1   -            905 2123at5820           -            973  3.7e-116  387.5  43.4   1   4     0.011        18    1.3   3.1   158   232    82   156    33   183 0.64 | transcript=PVP01_0917400.1 | gene=PVP01_0917400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=PvP01_09_v2:775516-778707(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917400.1-p1   -            905 2123at5820           -            973  3.7e-116  387.5  43.4   2   4   1.2e-62   1.9e-59  199.8  20.5   233   631   110   520    90   530 0.82 | transcript=PVP01_0917400.1 | gene=PVP01_0917400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=PvP01_09_v2:775516-778707(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917400.1-p1   -            905 2123at5820           -            973  3.7e-116  387.5  43.4   3   4   4.6e-56   7.6e-53  178.0   0.2   619   785   592   759   585   774 0.94 | transcript=PVP01_0917400.1 | gene=PVP01_0917400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=PvP01_09_v2:775516-778707(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0917400.1-p1   -            905 2123at5820           -            973  3.7e-116  387.5  43.4   4   4   1.8e-08   2.9e-05   20.5   6.0   833   922   775   860   770   902 0.83 | transcript=PVP01_0917400.1 | gene=PVP01_0917400 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=PvP01_09_v2:775516-778707(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API03500.1-p1  -            763 2123at5820           -            973   1.4e-52  177.1  33.7   1   3         4   6.5e+03  -30.2  42.0    89   280    65   268    43   283 0.58 | transcript=PVP01_API03500.1 | gene=PVP01_API03500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpM, putative | transcript_product=chaperone protein ClpM, putative | location=PvP01_API_v2:10790-13081(+) | protein_length=763 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API03500.1-p1  -            763 2123at5820           -            973   1.4e-52  177.1  33.7   2   3   8.3e-56   1.4e-52  177.1  33.7   453   791   292   621   282   631 0.84 | transcript=PVP01_API03500.1 | gene=PVP01_API03500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpM, putative | transcript_product=chaperone protein ClpM, putative | location=PvP01_API_v2:10790-13081(+) | protein_length=763 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API03500.1-p1  -            763 2123at5820           -            973   1.4e-52  177.1  33.7   3   3   0.00064         1    5.4  13.4   836   940   631   733   621   747 0.82 | transcript=PVP01_API03500.1 | gene=PVP01_API03500 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein ClpM, putative | transcript_product=chaperone protein ClpM, putative | location=PvP01_API_v2:10790-13081(+) | protein_length=763 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2123at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2123at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2123at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:07 2026
# [ok]
