#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   1  10   8.5e-06     0.028   11.1   0.0     8    39    23    55    15    72 0.79 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   2  10   2.6e-64   8.5e-61  204.7   6.7    35   165    79   210    74   213 0.96 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   3  10   6.6e-10   2.1e-06   24.7   0.1   165   197   237   272   235   276 0.87 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   4  10   2.4e-81     8e-78  261.1  12.9   198   403   323   560   317   571 0.84 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   5  10   6.9e-34   2.3e-30  104.0   5.4   381   482   576   680   562   689 0.87 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   6  10   2.9e-36   9.5e-33  111.9   0.1   482   559   797   874   790   878 0.97 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   7  10     5e-26   1.6e-22   78.0   0.1   559   626   904   982   900   988 0.85 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   8  10   1.6e-35   5.1e-32  109.5   0.7   626   723  1018  1126  1016  1132 0.92 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7   9  10   8.9e-18   2.9e-14   50.7   0.0   724   765  1171  1212  1169  1218 0.93 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144100.1-p1   -           1376 1205at5820           -            896         0 1149.0  80.7  10  10   2.5e-70   8.1e-67  224.6   6.3   762   896  1235  1376  1229  1376 0.96 | transcript=PVP01_1144100.1 | gene=PVP01_1144100 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1867073-1871203(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 1205at5820           -            896     0.042   10.5  12.7   1   3   2.1e-05     0.069    9.8   2.2   173   236    72   135    65   145 0.95 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
