#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0904400.1-p1   -            491 5577at5820           -            435  5.7e-261  864.6  20.8   1   2  2.2e-153    2e-150  500.3   2.5     1   237     1   252     1   266 0.95 | transcript=PVP01_0904400.1 | gene=PVP01_0904400 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:273305-274780(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904400.1-p1   -            491 5577at5820           -            435  5.7e-261  864.6  20.8   2   2  9.3e-114  8.7e-111  369.7  10.7   231   435   270   491   264   491 0.94 | transcript=PVP01_0904400.1 | gene=PVP01_0904400 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:273305-274780(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 5577at5820           -            435   3.9e-28   97.4   0.1   1   2   3.2e-19     3e-16   58.2   0.0     9   246     9   249     1   263 0.72 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336400.1-p1   -            376 5577at5820           -            435   3.9e-28   97.4   0.1   2   2   7.4e-13   6.9e-10   37.3   0.0   347   434   292   375   279   376 0.86 | transcript=PVP01_1336400.1 | gene=PVP01_1336400 | organism=Plasmodium_vivax_P01 | gene_product=actin II | transcript_product=actin II | location=PvP01_13_v2:1568504-1569804(-) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 5577at5820           -            435   2.2e-27   94.9   0.0   1   2   5.9e-19   5.5e-16   57.4   0.0     4   247     5   250     3   283 0.73 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463200.1-p1   -            376 5577at5820           -            435   2.2e-27   94.9   0.0   2   2   5.5e-12   5.1e-09   34.4   0.0   353   434   298   375   282   376 0.85 | transcript=PVP01_1463200.1 | gene=PVP01_1463200 | organism=Plasmodium_vivax_P01 | gene_product=actin, putative | transcript_product=actin, putative | location=PvP01_14_v2:2720583-2721713(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 5577at5820           -            435     3e-27   94.5   2.0   1   2   1.3e-19   1.2e-16   59.5   0.8    81   198    83   198     8   267 0.70 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210900.1-p1   -            379 5577at5820           -            435     3e-27   94.5   2.0   2   2   7.7e-12   7.1e-09   33.9   0.0   350   426   298   371   275   378 0.84 | transcript=PVP01_0210900.1 | gene=PVP01_0210900 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=PvP01_02_v2:443680-446361(+) | protein_length=379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 5577at5820           -            435   2.3e-25   88.2   0.1   1   2   1.3e-18   1.2e-15   56.2   0.0    99   209   134   244   130   247 0.92 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326200.1-p1   -            493 5577at5820           -            435   2.3e-25   88.2   0.1   2   2   1.2e-10   1.2e-07   29.9   0.0   326   434   384   492   361   493 0.78 | transcript=PVP01_1326200.1 | gene=PVP01_1326200 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=PvP01_13_v2:1139269-1140750(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028800.1-p1   -            606 5577at5820           -            435   1.5e-18   65.8  24.3   1   2   0.00012      0.11   10.2   0.4     2   106     4   122     3   143 0.73 | transcript=PVP01_1028800.1 | gene=PVP01_1028800 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_10_v2:1228590-1230410(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
