#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0822600.1-p1   -           1383 1563at5820           -            937         0 1358.9  94.4   1   6  1.3e-115  8.6e-113  376.7  14.7     1   168    10   179    10   183 0.98 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1563at5820           -            937         0 1358.9  94.4   2   6  3.6e-255  2.3e-252  838.6  30.1   166   613   232   702   227   707 0.94 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1563at5820           -            937         0 1358.9  94.4   3   6   4.7e-32   3.1e-29  100.2  19.7   624   820   796  1046   784  1095 0.77 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1563at5820           -            937         0 1358.9  94.4   4   6   3.4e-13   2.2e-10   37.8   0.1   842   887  1172  1218  1169  1230 0.89 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1563at5820           -            937         0 1358.9  94.4   5   6    0.0017       1.1    5.7   0.1   886   910  1307  1331  1300  1341 0.82 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0822600.1-p1   -           1383 1563at5820           -            937         0 1358.9  94.4   6   6     6e-08   3.9e-05   20.4   0.2   904   937  1350  1383  1335  1383 0.89 | transcript=PVP01_0822600.1 | gene=PVP01_0822600 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-5, putative | transcript_product=kinesin-5, putative | location=PvP01_08_v2:1003395-1007727(+) | protein_length=1383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1563at5820           -            937   2.4e-68  229.6  20.0   1   3   1.9e-23   1.2e-20   71.7   2.1     9   113   742   854   734   873 0.88 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1563at5820           -            937   2.4e-68  229.6  20.0   2   3   4.4e-54   2.9e-51  173.1  10.3   170   417   876  1121   863  1134 0.83 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204100.1-p1   -           1439 1563at5820           -            937   2.4e-68  229.6  20.0   3   3        10   6.5e+03   -8.5  14.3   612   877  1242  1361  1186  1436 0.33 | transcript=PVP01_0204100.1 | gene=PVP01_0204100 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=PvP01_02_v2:196002-200884(+) | protein_length=1439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 1563at5820           -            937   1.5e-45  154.2  16.8   1   2   1.3e-13   8.4e-11   39.2   1.2    14   110   507   605   501   619 0.82 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820800.1-p1   -           1285 1563at5820           -            937   1.5e-45  154.2  16.8   2   2   5.8e-38   3.8e-35  119.7   8.7   167   388   627   845   606   874 0.88 | transcript=PVP01_0820800.1 | gene=PVP01_0820800 | organism=Plasmodium_vivax_P01 | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=PvP01_08_v2:911832-915689(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
