#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1427000.1-p1   -            315 12286at5820          -            258  3.3e-118  392.2 107.3   1   3   3.7e-81   8.7e-79  263.0  11.9     1   131     1   139     1   142 0.93 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 12286at5820          -            258  3.3e-118  392.2 107.3   2   3   4.7e-10   1.1e-07   30.0  61.2   122   186   143   207   141   207 0.87 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 12286at5820          -            258  3.3e-118  392.2 107.3   3   3   3.1e-37   7.3e-35  119.0  43.9   141   258   187   313   186   313 0.76 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0418300.1-p1   -            258 12286at5820          -            258   2.8e-05   22.1   6.0   1   1   1.5e-07   3.6e-05   21.7   6.0   139   225   142   226   125   255 0.53 | transcript=PVP01_0418300.1 | gene=PVP01_0418300 | organism=Plasmodium_vivax_P01 | gene_product=merozoite surface protein 4 | transcript_product=merozoite surface protein 4 | location=PvP01_04_v2:760550-761482(+) | protein_length=258 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0305800.1-p1   -            847 12286at5820          -            258   3.1e-05   21.9  32.1   1   1     4e-07   9.3e-05   20.4  32.1   127   182   353   408   338   432 0.63 | transcript=PVP01_0305800.1 | gene=PVP01_0305800 | organism=Plasmodium_vivax_P01 | gene_product=NYN domain-containing protein, putative | transcript_product=NYN domain-containing protein, putative | location=PvP01_03_v2:300645-303365(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722100.1-p1   -            409 12286at5820          -            258   4.8e-05   21.3   5.6   1   1   3.1e-07   7.2e-05   20.7   5.6   140   219    70   151    47   158 0.53 | transcript=PVP01_0722100.1 | gene=PVP01_0722100 | organism=Plasmodium_vivax_P01 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=PvP01_07_v2:957346-958575(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209000.1-p1   -           1080 12286at5820          -            258   0.00012   20.1   7.7   1   1     1e-06   0.00024   19.0   7.7   150   213   108   169    79   186 0.60 | transcript=PVP01_1209000.1 | gene=PVP01_1209000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:370679-374059(-) | protein_length=1080 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116600.1-p1   -           1668 12286at5820          -            258    0.0014   16.5  16.6   1   2       6.4   1.5e+03   -3.2  11.9   131   188   995  1052   964  1082 0.48 | transcript=PVP01_0116600.1 | gene=PVP01_0116600 | organism=Plasmodium_vivax_P01 | gene_product=GRAM domain-containing protein, putative | transcript_product=GRAM domain-containing protein, putative | location=PvP01_01_v2:748606-756925(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116600.1-p1   -           1668 12286at5820          -            258    0.0014   16.5  16.6   2   2   6.1e-06    0.0014   16.5  16.6   140   210  1215  1287  1189  1295 0.60 | transcript=PVP01_0116600.1 | gene=PVP01_0116600 | organism=Plasmodium_vivax_P01 | gene_product=GRAM domain-containing protein, putative | transcript_product=GRAM domain-containing protein, putative | location=PvP01_01_v2:748606-756925(-) | protein_length=1668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 12286at5820          -            258    0.0018   16.1  22.9   1   2   7.9e-06    0.0018   16.1  22.9   139   184   126   170    56   195 0.67 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 12286at5820          -            258    0.0018   16.1  22.9   2   2      0.74   1.7e+02   -0.2   2.7   164   179   389   404   369   411 0.36 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
