#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1107700.1-p1   -           1127 2381at5820           -            857         0 1795.7  69.2   1   5     0.044        36    0.6   0.1     4    21    30    47    27    61 0.85 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 2381at5820           -            857         0 1795.7  69.2   2   5   1.3e-54     1e-51  174.4  10.9    10   121   157   274   148   281 0.91 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 2381at5820           -            857         0 1795.7  69.2   3   5   8.8e-34   7.2e-31  105.5   1.8   119   180   307   368   285   383 0.91 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 2381at5820           -            857         0 1795.7  69.2   4   5  8.4e-199  6.8e-196  651.4  15.3   179   475   393   694   381   698 0.98 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107700.1-p1   -           1127 2381at5820           -            857         0 1795.7  69.2   5   5  5.6e-269  4.6e-266  883.6  14.1   474   856   743  1125   732  1126 0.99 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 2381at5820           -            857  5.1e-201  668.4  11.0   1   2      0.21   1.7e+02   -1.6   0.0   247   297   263   317   248   332 0.80 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615200.1-p1   -           1224 2381at5820           -            857  5.1e-201  668.4  11.0   2   2  2.7e-202  2.2e-199  663.0  10.4   201   853   553  1187   384  1190 0.92 | transcript=PVP01_0615200.1 | gene=PVP01_0615200 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=PvP01_06_v2:640215-644561(-) | protein_length=1224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0716000.1-p1   -            840 2381at5820           -            857  3.2e-166  553.3   1.7   1   1  4.7e-167  3.8e-164  546.4   1.7   205   853   181   819   164   823 0.92 | transcript=PVP01_0716000.1 | gene=PVP01_0716000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=PvP01_07_v2:717935-720457(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 2381at5820           -            857  1.4e-153  511.4  28.6   1   2   3.8e-72   3.1e-69  232.4  10.9   191   453   375   634   366   665 0.89 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1449800.1-p1   -           1085 2381at5820           -            857  1.4e-153  511.4  28.6   2   2     9e-87   7.4e-84  280.8   9.7   493   854   710  1081   703  1084 0.92 | transcript=PVP01_1449800.1 | gene=PVP01_1449800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=PvP01_14_v2:2163329-2166586(-) | protein_length=1085 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2381at5820           -            857  1.1e-121  405.9  11.9   1   4   6.5e-53   5.3e-50  168.8   0.8   212   419     3   234     1   241 0.86 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
