#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0709300.1-p1   -            446 6760at5820           -            323  8.9e-198  654.3  13.8   1   1    1e-200  1.6e-197  653.5  13.8    18   317    84   384    80   385 0.99 | transcript=PVP01_0709300.1 | gene=PVP01_0709300 | organism=Plasmodium_vivax_P01 | gene_product=cytosolic Fe-S cluster assembly factor NBP35, putative | transcript_product=cytosolic Fe-S cluster assembly factor NBP35, putative | location=PvP01_07_v2:476314-477654(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929300.1-p1   -            587 6760at5820           -            323   6.5e-30  102.7  12.3   1   3     1e-11   1.7e-08   32.4   0.0    67   120   118   171   105   176 0.87 | transcript=PVP01_0929300.1 | gene=PVP01_0929300 | organism=Plasmodium_vivax_P01 | gene_product=Fe-S cluster assembly factor HCF101, putative | transcript_product=Fe-S cluster assembly factor HCF101, putative | location=PvP01_09_v2:1280655-1282418(+) | protein_length=587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929300.1-p1   -            587 6760at5820           -            323   6.5e-30  102.7  12.3   2   3   2.3e-24   3.7e-21   73.9   2.7   142   249   271   377   264   406 0.87 | transcript=PVP01_0929300.1 | gene=PVP01_0929300 | organism=Plasmodium_vivax_P01 | gene_product=Fe-S cluster assembly factor HCF101, putative | transcript_product=Fe-S cluster assembly factor HCF101, putative | location=PvP01_09_v2:1280655-1282418(+) | protein_length=587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929300.1-p1   -            587 6760at5820           -            323   6.5e-30  102.7  12.3   3   3      0.07   1.1e+02    0.0   1.0    37    70   504   538   496   553 0.71 | transcript=PVP01_0929300.1 | gene=PVP01_0929300 | organism=Plasmodium_vivax_P01 | gene_product=Fe-S cluster assembly factor HCF101, putative | transcript_product=Fe-S cluster assembly factor HCF101, putative | location=PvP01_09_v2:1280655-1282418(+) | protein_length=587 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521500.1-p1   -            374 6760at5820           -            323   0.00047   17.7   2.8   1   4   1.8e-05      0.03   11.8   0.0    63   111    25    73    10    79 0.81 | transcript=PVP01_0521500.1 | gene=PVP01_0521500 | organism=Plasmodium_vivax_P01 | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=PvP01_05_v2:872510-873634(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521500.1-p1   -            374 6760at5820           -            323   0.00047   17.7   2.8   2   4       0.1   1.7e+02   -0.5   0.0   268   316    82   130    75   134 0.73 | transcript=PVP01_0521500.1 | gene=PVP01_0521500 | organism=Plasmodium_vivax_P01 | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=PvP01_05_v2:872510-873634(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521500.1-p1   -            374 6760at5820           -            323   0.00047   17.7   2.8   3   4      0.22   3.6e+02   -1.6   0.0    61    79   141   159   135   167 0.83 | transcript=PVP01_0521500.1 | gene=PVP01_0521500 | organism=Plasmodium_vivax_P01 | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=PvP01_05_v2:872510-873634(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521500.1-p1   -            374 6760at5820           -            323   0.00047   17.7   2.8   4   4    0.0075        12    3.2   0.6   199   251   224   275   216   311 0.80 | transcript=PVP01_0521500.1 | gene=PVP01_0521500 | organism=Plasmodium_vivax_P01 | gene_product=ATPase GET3, putative | transcript_product=ATPase GET3, putative | location=PvP01_05_v2:872510-873634(-) | protein_length=374 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911700.1-p1   -            543 6760at5820           -            323      0.56    7.6   6.2   1   3      0.02        32    1.8   0.0   277   303   280   307   248   318 0.83 | transcript=PVP01_0911700.1 | gene=PVP01_0911700 | organism=Plasmodium_vivax_P01 | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=PvP01_09_v2:564316-565947(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911700.1-p1   -            543 6760at5820           -            323      0.56    7.6   6.2   2   3    0.0092        15    2.9   0.3    31    92   343   406   325   418 0.71 | transcript=PVP01_0911700.1 | gene=PVP01_0911700 | organism=Plasmodium_vivax_P01 | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=PvP01_09_v2:564316-565947(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911700.1-p1   -            543 6760at5820           -            323      0.56    7.6   6.2   3   3     0.004       6.6    4.1   0.4    26    76   437   487   415   495 0.83 | transcript=PVP01_0911700.1 | gene=PVP01_0911700 | organism=Plasmodium_vivax_P01 | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=PvP01_09_v2:564316-565947(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6760at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6760at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6760at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:29 2026
# [ok]
