#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0527000.1-p1   -            947 8720at5820           -            583  1.1e-223  742.6 227.5   1   5  5.2e-209  4.8e-206  684.4  70.2     2   369     4   395     3   409 0.92 | transcript=PVP01_0527000.1 | gene=PVP01_0527000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1106109-1109517(-) | protein_length=947 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527000.1-p1   -            947 8720at5820           -            583  1.1e-223  742.6 227.5   2   5   3.1e-21   2.9e-18   64.3  52.6   371   524   451   600   404   605 0.64 | transcript=PVP01_0527000.1 | gene=PVP01_0527000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1106109-1109517(-) | protein_length=947 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527000.1-p1   -            947 8720at5820           -            583  1.1e-223  742.6 227.5   3   5    0.0085       7.9    3.4  54.2   413   550   574   703   571   711 0.39 | transcript=PVP01_0527000.1 | gene=PVP01_0527000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1106109-1109517(-) | protein_length=947 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527000.1-p1   -            947 8720at5820           -            583  1.1e-223  742.6 227.5   4   5     0.011        10    3.1  49.5   412   573   681   818   672   868 0.39 | transcript=PVP01_0527000.1 | gene=PVP01_0527000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1106109-1109517(-) | protein_length=947 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527000.1-p1   -            947 8720at5820           -            583  1.1e-223  742.6 227.5   5   5         2   1.9e+03   -4.4   4.6   414   479   858   926   849   947 0.41 | transcript=PVP01_0527000.1 | gene=PVP01_0527000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1106109-1109517(-) | protein_length=947 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1402200.1-p1   -            387 8720at5820           -            583   0.00034   17.9  35.8   1   2   3.6e-07   0.00034   17.9  35.8   432   566    67   201     5   219 0.63 | transcript=PVP01_1402200.1 | gene=PVP01_1402200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_14_v2:100526-102026(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1402200.1-p1   -            387 8720at5820           -            583   0.00034   17.9  35.8   2   2      0.11     1e+02   -0.3   0.5   396   440   289   330   231   382 0.65 | transcript=PVP01_1402200.1 | gene=PVP01_1402200 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_14_v2:100526-102026(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 8720at5820           -            583    0.0012   16.1  40.9   1   2   1.2e-06    0.0012   16.1  40.9   434   580    62   209    29   217 0.42 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 8720at5820           -            583    0.0012   16.1  40.9   2   2       0.3   2.8e+02   -1.6   0.6   240   260   263   284   231   301 0.48 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 8720at5820           -            583      0.52    7.3  30.7   1   1    0.0011         1    6.4  30.7   316   547    22   259     6   291 0.47 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526400.1-p1   -            319 8720at5820           -            583         1    6.3  23.5   1   1    0.0014       1.3    6.0  23.5   440   523    72   153    35   228 0.49 | transcript=PVP01_0526400.1 | gene=PVP01_0526400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1070413-1071498(+) | protein_length=319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421400.1-p1   -            385 8720at5820           -            583         4    4.4  65.9   1   1    0.0069       6.4    3.7  65.9   321   567    98   335    78   352 0.45 | transcript=PVP01_0421400.1 | gene=PVP01_0421400 | organism=Plasmodium_vivax_P01 | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=PvP01_04_v2:869293-870692(+) | protein_length=385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531900.1-p1   -            297 8720at5820           -            583       9.1    3.2  25.3   1   1     0.017        16    2.4  25.3   399   554    93   247    75   254 0.41 | transcript=PVP01_0531900.1 | gene=PVP01_0531900 | organism=Plasmodium_vivax_P01 | gene_product=apical asparagine-rich protein AARP | transcript_product=apical asparagine-rich protein AARP | location=PvP01_05_v2:1343678-1344571(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8720at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8720at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8720at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:17 2026
# [ok]
