#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1117500.1-p1   -           1006 3360at5820           -            790         0 1416.0 153.6   1   6    5e-152  8.1e-149  495.7  14.4     1   228     1   228     1   241 0.99 | transcript=PVP01_1117500.1 | gene=PVP01_1117500 | organism=Plasmodium_vivax_P01 | gene_product=large subunit rRNA methyltransferase, putative | transcript_product=large subunit rRNA methyltransferase, putative | location=PvP01_11_v2:744251-747491(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117500.1-p1   -           1006 3360at5820           -            790         0 1416.0 153.6   2   6   3.9e-56   6.4e-53  178.6  11.3   218   332   243   366   232   418 0.81 | transcript=PVP01_1117500.1 | gene=PVP01_1117500 | organism=Plasmodium_vivax_P01 | gene_product=large subunit rRNA methyltransferase, putative | transcript_product=large subunit rRNA methyltransferase, putative | location=PvP01_11_v2:744251-747491(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117500.1-p1   -           1006 3360at5820           -            790         0 1416.0 153.6   3   6   2.3e-29   3.7e-26   90.1  22.6   333   429   419   516   409   527 0.89 | transcript=PVP01_1117500.1 | gene=PVP01_1117500 | organism=Plasmodium_vivax_P01 | gene_product=large subunit rRNA methyltransferase, putative | transcript_product=large subunit rRNA methyltransferase, putative | location=PvP01_11_v2:744251-747491(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117500.1-p1   -           1006 3360at5820           -            790         0 1416.0 153.6   4   6   1.1e-36   1.8e-33  114.3  21.9   411   486   528   603   523   607 0.97 | transcript=PVP01_1117500.1 | gene=PVP01_1117500 | organism=Plasmodium_vivax_P01 | gene_product=large subunit rRNA methyltransferase, putative | transcript_product=large subunit rRNA methyltransferase, putative | location=PvP01_11_v2:744251-747491(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117500.1-p1   -           1006 3360at5820           -            790         0 1416.0 153.6   5   6     2e-21   3.3e-18   63.8   1.4   468   532   632   697   628   726 0.88 | transcript=PVP01_1117500.1 | gene=PVP01_1117500 | organism=Plasmodium_vivax_P01 | gene_product=large subunit rRNA methyltransferase, putative | transcript_product=large subunit rRNA methyltransferase, putative | location=PvP01_11_v2:744251-747491(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1117500.1-p1   -           1006 3360at5820           -            790         0 1416.0 153.6   6   6  9.4e-155  1.5e-151  504.7  43.0   528   790   741  1004   733  1004 0.98 | transcript=PVP01_1117500.1 | gene=PVP01_1117500 | organism=Plasmodium_vivax_P01 | gene_product=large subunit rRNA methyltransferase, putative | transcript_product=large subunit rRNA methyltransferase, putative | location=PvP01_11_v2:744251-747491(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707100.1-p1   -            526 3360at5820           -            790   1.1e-28   98.5  10.4   1   4   9.6e-13   1.6e-09   35.1   0.5     6    43     3    40     1    44 0.95 | transcript=PVP01_0707100.1 | gene=PVP01_0707100 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=PvP01_07_v2:380986-382566(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707100.1-p1   -            526 3360at5820           -            790   1.1e-28   98.5  10.4   2   4   0.00065       1.1    5.9   0.0    48    62    67    81    53    88 0.82 | transcript=PVP01_0707100.1 | gene=PVP01_0707100 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=PvP01_07_v2:380986-382566(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707100.1-p1   -            526 3360at5820           -            790   1.1e-28   98.5  10.4   3   4    0.0022       3.6    4.1   0.4    62   108   134   179   128   193 0.85 | transcript=PVP01_0707100.1 | gene=PVP01_0707100 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=PvP01_07_v2:380986-382566(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707100.1-p1   -            526 3360at5820           -            790   1.1e-28   98.5  10.4   4   4   2.1e-19   3.3e-16   57.1   0.0   112   202   208   298   200   306 0.96 | transcript=PVP01_0707100.1 | gene=PVP01_0707100 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=PvP01_07_v2:380986-382566(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1410600.1-p1   -            266 3360at5820           -            790   2.5e-24   84.0   2.5   1   1     2e-27   3.3e-24   83.6   2.5    11   205    45   247    39   259 0.86 | transcript=PVP01_1410600.1 | gene=PVP01_1410600 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal RNA methyltransferase, putative | transcript_product=ribosomal RNA methyltransferase, putative | location=PvP01_14_v2:497947-498747(+) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0928300.1-p1   -            293 3360at5820           -            790   0.00012   18.9   4.5   1   1     1e-07   0.00016   18.5   4.5   209   292    32   114    21   133 0.89 | transcript=PVP01_0928300.1 | gene=PVP01_0928300 | organism=Plasmodium_vivax_P01 | gene_product=CRAL/TRIO domain-containing protein, putative | transcript_product=CRAL/TRIO domain-containing protein, putative | location=PvP01_09_v2:1237460-1239749(+) | protein_length=293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3360at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3360at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3360at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:35 2026
# [ok]
