#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0307200.1-p1   -            700 4671at5820           -            475  7.6e-271  897.1  39.2   1   4   3.1e-29   9.9e-27   92.1   0.1     1    90    11   130    11   153 0.86 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 4671at5820           -            475  7.6e-271  897.1  39.2   2   4   6.8e-06    0.0022   15.2   1.0    86   111   184   209   180   261 0.85 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 4671at5820           -            475  7.6e-271  897.1  39.2   3   4   7.4e-17   2.4e-14   51.3   9.2   106   159   297   350   290   358 0.83 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0307200.1-p1   -            700 4671at5820           -            475  7.6e-271  897.1  39.2   4   4  6.2e-229    2e-226  750.6  11.6   138   475   362   700   347   700 0.97 | transcript=PVP01_0307200.1 | gene=PVP01_0307200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_03_v2:356440-358542(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 4671at5820           -            475   2.9e-77  258.8   5.6   1   3       1.6   5.1e+02   -2.5   0.1   185   212   331   358   291   379 0.69 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 4671at5820           -            475   2.9e-77  258.8   5.6   2   3   2.7e-36   8.8e-34  115.4   0.1   200   414   477   688   428   700 0.85 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0111400.1-p1   -           1089 4671at5820           -            475   2.9e-77  258.8   5.6   3   3   2.8e-45   9.2e-43  145.0   0.2   196   416   793  1011   788  1023 0.91 | transcript=PVP01_0111400.1 | gene=PVP01_0111400 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, CDC48 subfamily, putative | transcript_product=AAA family ATPase, CDC48 subfamily, putative | location=PvP01_01_v2:527779-531048(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 4671at5820           -            475   5.2e-74  248.0   0.0   1   2     2e-35   6.5e-33  112.5   0.0   192   416   197   421   184   465 0.84 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130100.1-p1   -            822 4671at5820           -            475   5.2e-74  248.0   0.0   2   2   9.9e-42   3.2e-39  133.3   0.0   195   425   476   706   466   722 0.89 | transcript=PVP01_1130100.1 | gene=PVP01_1130100 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=PvP01_11_v2:1289155-1291792(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249400.1-p1   -            439 4671at5820           -            475   1.4e-50  170.8   0.2   1   1   7.7e-53   2.5e-50  170.0   0.2   188   375   107   293    44   351 0.91 | transcript=PVP01_1249400.1 | gene=PVP01_1249400 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=PvP01_12_v2:2010911-2012230(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336200.1-p1   -           1177 4671at5820           -            475   2.5e-49  166.6  21.4   1   4       1.2     4e+02   -2.2   0.6   103   163    71   136    63   164 0.48 | transcript=PVP01_1336200.1 | gene=PVP01_1336200 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_13_v2:1560749-1564282(-) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
