#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1024900.1-p1   -           1455 1309at5820           -           1140         0 2012.2 133.6   1   4     1e-57   1.7e-54  183.5   2.6     1    90    54   143    54   145 0.98 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1309at5820           -           1140         0 2012.2 133.6   2   4  2.9e-288  4.7e-285  947.0  48.9    91   639   177   758   175   764 0.94 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1309at5820           -           1140         0 2012.2 133.6   3   4  4.2e-121  6.9e-118  393.4  46.6   642   902   809  1085   789  1089 0.94 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024900.1-p1   -           1455 1309at5820           -           1140         0 2012.2 133.6   4   4  3.7e-155    6e-152  506.2  11.7   901  1140  1187  1424  1169  1424 0.94 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1309at5820           -           1140     1e-37  127.9  47.5   1   6   3.5e-22   5.7e-19   65.9  28.4     5   264   230   500   227   502 0.77 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1309at5820           -           1140     1e-37  127.9  47.5   2   6         4   6.5e+03  -15.0  37.8   711   995   426   715   418   716 0.65 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1309at5820           -           1140     1e-37  127.9  47.5   3   6         4   6.5e+03  -15.5  34.1   654   936   506   797   501   804 0.71 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1309at5820           -           1140     1e-37  127.9  47.5   4   6         4   6.5e+03   -9.7  21.4   374   548   676   864   636   874 0.64 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1309at5820           -           1140     1e-37  127.9  47.5   5   6         4   6.5e+03  -15.7  45.5   582   888   940  1254   930  1266 0.74 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931500.1-p1   -           1619 1309at5820           -           1140     1e-37  127.9  47.5   6   6   8.3e-26   1.3e-22   77.9  11.0   922  1129  1384  1601  1371  1613 0.87 | transcript=PVP01_0931500.1 | gene=PVP01_0931500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=PvP01_09_v2:1349877-1354736(-) | protein_length=1619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1419300.1-p1   -           1218 1309at5820           -           1140   5.6e-37  125.5 139.6   1   1   4.7e-40   7.7e-37  125.0 139.6     5  1121     3  1172     1  1185 0.71 | transcript=PVP01_1419300.1 | gene=PVP01_1419300 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=PvP01_14_v2:836387-840362(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
