#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1342900.1-p1   -           1020 8193at5820           -            626  4.7e-276  915.9 173.2   1   5   1.3e-63   1.7e-60  203.9  15.2     1   132     9   143     9   153 0.94 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 8193at5820           -            626  4.7e-276  915.9 173.2   2   5   6.1e-05     0.079   10.1   1.1   131   152   204   225   203   229 0.93 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 8193at5820           -            626  4.7e-276  915.9 173.2   3   5   3.5e-54   4.6e-51  172.7  19.4   129   272   237   394   226   398 0.86 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 8193at5820           -            626  4.7e-276  915.9 173.2   4   5  1.2e-166  1.6e-163  544.2  95.7   269   623   489   914   486   917 0.87 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342900.1-p1   -           1020 8193at5820           -            626  4.7e-276  915.9 173.2   5   5         5   6.5e+03  -12.6  10.9   599   621   977  1002   937  1018 0.50 | transcript=PVP01_1342900.1 | gene=PVP01_1342900 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_13_v2:1888410-1891645(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 8193at5820           -            626   6.3e-10   36.8   5.7   1   2       0.2   2.6e+02   -1.6   5.2     3   114    91   206    89   226 0.62 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0719300.1-p1   -            475 8193at5820           -            626   6.3e-10   36.8   5.7   2   2   4.9e-13   6.3e-10   36.8   5.7   190   274   296   385   245   390 0.87 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 8193at5820           -            626   2.1e-09   35.1   2.0   1   3   0.00017      0.22    8.6   0.3   198   260    10    72     4    85 0.91 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 8193at5820           -            626   2.1e-09   35.1   2.0   2   3   1.6e-12   2.1e-09   35.1   2.0   196   269   165   238   131   265 0.89 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 8193at5820           -            626   2.1e-09   35.1   2.0   3   3         5   6.5e+03   -9.0   5.4   583   598   486   501   478   521 0.52 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 8193at5820           -            626   1.5e-06   25.7   0.1   1   1   1.4e-09   1.8e-06   25.4   0.1   186   272    60   148    38   151 0.90 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 8193at5820           -            626    0.0026   15.0   1.3   1   3    0.0001      0.13    9.3   0.1   281   339    90   149    87   158 0.90 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 8193at5820           -            626    0.0026   15.0   1.3   2   3    0.0073       9.5    3.2   0.0   275   332   184   241   167   277 0.78 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 8193at5820           -            626    0.0026   15.0   1.3   3   3      0.17   2.2e+02   -1.3   0.1   225   264   402   441   398   467 0.68 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8193at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
