#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0118700.1-p1   -            574 5648at5820           -            472  2.4e-259  859.4  27.1   1   3   8.2e-11   5.9e-08   30.5   0.1     1    26     1    26     1    29 0.93 | transcript=PVP01_0118700.1 | gene=PVP01_0118700 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=PvP01_01_v2:858473-860197(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118700.1-p1   -            574 5648at5820           -            472  2.4e-259  859.4  27.1   2   3  1.8e-146  1.3e-143  477.8   2.0    20   257    43   281    38   285 0.98 | transcript=PVP01_0118700.1 | gene=PVP01_0118700 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=PvP01_01_v2:858473-860197(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118700.1-p1   -            574 5648at5820           -            472  2.4e-259  859.4  27.1   3   3  1.2e-109  8.6e-107  356.4  12.9   257   472   314   569   311   569 0.90 | transcript=PVP01_0118700.1 | gene=PVP01_0118700 | organism=Plasmodium_vivax_P01 | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=PvP01_01_v2:858473-860197(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 5648at5820           -            472   1.1e-05   23.0   0.4   1   1   2.3e-08   1.7e-05   22.4   0.4   146   238   200   295   125   341 0.84 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5648at5820           -            472   1.8e-05   22.3   0.0   1   2   1.3e-07   9.6e-05   19.9   0.0    19   221    50   260    39   272 0.75 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 5648at5820           -            472   1.8e-05   22.3   0.0   2   2      0.17   1.2e+02   -0.2   0.0   181   233   261   319   254   321 0.65 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 5648at5820           -            472   4.5e-05   21.0   0.3   1   3       3.4   2.5e+03   -4.5   2.2   410   431   137   158    85   202 0.52 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 5648at5820           -            472   4.5e-05   21.0   0.3   2   3      0.11        79    0.4   0.1   218   269   297   348   289   359 0.61 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 5648at5820           -            472   4.5e-05   21.0   0.3   3   3   6.2e-08   4.5e-05   21.0   0.3   166   272   371   476   324   523 0.76 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 5648at5820           -            472   8.6e-05   20.1   0.1   1   1     2e-07   0.00014   19.3   0.1   167   264   347   450   329   478 0.72 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 5648at5820           -            472   0.00011   19.8  24.4   1   4      0.29   2.1e+02   -1.0   0.9   421   463    27    66    11    73 0.74 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
