#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1426600.1-p1   -           1288 3205at5820           -            970         0 1572.6 137.3   1   3         0         0 1054.6  81.3     1   685     1   889     1   893 0.87 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3205at5820           -            970         0 1572.6 137.3   2   3  1.8e-122    2e-119  398.7  25.5   680   897   913  1156   906  1167 0.93 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 3205at5820           -            970         0 1572.6 137.3   3   3   2.7e-40     3e-37  126.7  14.5   890   970  1206  1288  1200  1288 0.94 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3205at5820           -            970   9.2e-17   58.8  52.8   1   6     0.098   1.1e+02   -1.0   0.1   153   191    27    65     7    99 0.77 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3205at5820           -            970   9.2e-17   58.8  52.8   2   6   9.9e-08   0.00011   18.9   4.9    42   145   132   240   108   252 0.68 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3205at5820           -            970   9.2e-17   58.8  52.8   3   6   2.4e-08   2.6e-05   20.9  11.0   328   413   354   435   252   471 0.81 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3205at5820           -            970   9.2e-17   58.8  52.8   4   6     0.046        50    0.1   0.3   441   480   435   481   433   498 0.61 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3205at5820           -            970   9.2e-17   58.8  52.8   5   6     4e-05     0.044   10.3   6.6   620   726   587   694   536   695 0.64 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0922300.1-p1   -            792 3205at5820           -            970   9.2e-17   58.8  52.8   6   6   2.2e-09   2.3e-06   24.4  10.7   726   843   641   760   633   784 0.77 | transcript=PVP01_0922300.1 | gene=PVP01_0922300 | organism=Plasmodium_vivax_P01 | gene_product=protein GCN20, putative, ABC transporter F family member 2, putative | transcript_product=protein GCN20, putative | location=PvP01_09_v2:964795-967173(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 3205at5820           -            970   7.6e-12   42.6   8.8   1   2   1.1e-08   1.2e-05   22.0   0.3   607   659     7    59     3    76 0.90 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 3205at5820           -            970   7.6e-12   42.6   8.8   2   2   2.7e-09   2.9e-06   24.1   2.9   749   836   101   191    90   226 0.80 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 3205at5820           -            970   2.3e-10   37.6   6.2   1   3      0.69   7.5e+02   -3.8   0.6    15   210   305   348   296   361 0.44 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 3205at5820           -            970   2.3e-10   37.6   6.2   2   3   5.3e-12   5.8e-09   33.0   0.4   604   662   485   543   472   573 0.87 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 3205at5820           -            970   2.3e-10   37.6   6.2   3   3   0.00027      0.29    7.5   0.0   277   404   653   781   631   797 0.70 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 3205at5820           -            970     3e-09   34.0  14.5   1   4   0.00021      0.23    7.9   0.0   638   660   119   142   100   157 0.80 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 3205at5820           -            970     3e-09   34.0  14.5   2   4   9.7e-06     0.011   12.3   1.2   304   405   195   298   182   313 0.82 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 3205at5820           -            970     3e-09   34.0  14.5   3   4   0.00061      0.66    6.4   0.2   618   655   371   409   347   415 0.65 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 3205at5820           -            970     3e-09   34.0  14.5   4   4   2.1e-06    0.0023   14.5   0.7   291   412   439   556   426   579 0.78 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 3205at5820           -            970    0.0002   18.0   8.3   1   3     0.097   1.1e+02   -0.9   0.2    22    68    51    97    43   115 0.63 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 3205at5820           -            970    0.0002   18.0   8.3   2   3     7e-07   0.00076   16.1   0.2   621   663   116   158    97   167 0.82 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1335400.1-p1   -            351 3205at5820           -            970    0.0002   18.0   8.3   3   3   0.00064       0.7    6.3   0.5   779   838   249   310   193   335 0.77 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3205at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3205at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3205at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:04 2026
# [ok]
