#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0942600.1-p1   -            516 7227at5820           -            380  3.2e-204  676.6  27.6   1   2   1.8e-47   2.3e-44  150.4  10.5    19   117    76   175    59   180 0.87 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0942600.1-p1   -            516 7227at5820           -            380  3.2e-204  676.6  27.6   2   2  1.9e-163  2.5e-160  532.1   9.1   117   380   236   512   227   512 0.96 | transcript=PVP01_0942600.1 | gene=PVP01_0942600 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=PvP01_09_v2:1882885-1884435(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 7227at5820           -            380   1.1e-65  220.6  48.9   1   3   6.9e-14     9e-11   39.8  19.4    32   113   120   201    95   209 0.88 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 7227at5820           -            380   1.1e-65  220.6  48.9   2   3   8.5e-47   1.1e-43  148.2  16.3   138   271   365   498   347   502 0.97 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836200.1-p1   -            869 7227at5820           -            380   1.1e-65  220.6  48.9   3   3   3.1e-14     4e-11   41.0   0.1   310   364   720   774   676   783 0.84 | transcript=PVP01_0836200.1 | gene=PVP01_0836200 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=PvP01_08_v2:1529673-1532983(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108900.1-p1   -            252 7227at5820           -            380   5.3e-26   90.0  17.3   1   2     0.045        58    1.0   1.5    73   115    33    74    16    86 0.70 | transcript=PVP01_0108900.1 | gene=PVP01_0108900 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=PvP01_01_v2:429049-429969(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0108900.1-p1   -            252 7227at5820           -            380   5.3e-26   90.0  17.3   2   2   4.1e-29   5.3e-26   90.0  17.3   137   238   142   243   128   247 0.96 | transcript=PVP01_0108900.1 | gene=PVP01_0108900 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1d, putative | transcript_product=inner membrane complex protein 1d, putative | location=PvP01_01_v2:429049-429969(-) | protein_length=252 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 7227at5820           -            380   1.8e-08   32.3  31.9   1   2   1.2e-05     0.016   12.7   3.4    15    68    22    75     5    78 0.76 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0803400.1-p1   -            286 7227at5820           -            380   1.8e-08   32.3  31.9   2   2   6.6e-10   8.6e-07   26.7  19.5    35   116    78   159    74   172 0.89 | transcript=PVP01_0803400.1 | gene=PVP01_0803400 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=PvP01_08_v2:165145-166005(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 7227at5820           -            380       1.4    6.3  56.5   1   3   1.5e-05     0.019   12.4   7.9    24    75    99   152    89   159 0.78 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 7227at5820           -            380       1.4    6.3  56.5   2   3      0.12   1.6e+02   -0.5  37.8    26   198   149   309   145   336 0.67 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836100.1-p1   -            530 7227at5820           -            380       1.4    6.3  56.5   3   3      0.87   1.1e+03   -3.3   0.2   287   319   402   437   370   469 0.66 | transcript=PVP01_0836100.1 | gene=PVP01_0836100 | organism=Plasmodium_vivax_P01 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=PvP01_08_v2:1524622-1526214(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7227at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7227at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7227at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:46 2026
# [ok]
