#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0909900.1-p1   -           1375 2713at5820           -            991         0 1283.2   0.0   1   1         0         0 1281.3   0.0     1   991     1  1370     1  1370 0.85 | transcript=PVP01_0909900.1 | gene=PVP01_0909900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:511110-515425(-) | protein_length=1375 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 2713at5820           -            991    0.0068   12.8  25.3   1   1   1.8e-05    0.0079   12.6  25.3   536   664    62   189    44   252 0.35 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 2713at5820           -            991     0.092    9.1  19.0   1   1   0.00034      0.15    8.4  19.0   507   645   120   254    50   293 0.38 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431300.1-p1   -            371 2713at5820           -            991      0.27    7.5  25.6   1   1   0.00078      0.34    7.2  25.6   475   679    15   171     3   328 0.45 | transcript=PVP01_1431300.1 | gene=PVP01_1431300 | organism=Plasmodium_vivax_P01 | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=PvP01_14_v2:1369144-1370259(+) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 2713at5820           -            991      0.46    6.7  21.2   1   1    0.0016       0.7    6.2  21.2   547   667    50   168    19   184 0.50 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810500.1-p1   -            381 2713at5820           -            991      0.97    5.7  23.5   1   1    0.0028       1.2    5.4  23.5   527   671   104   234    23   251 0.36 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 2713at5820           -            991       1.1    5.5  13.6   1   1    0.0025       1.1    5.5  13.6   530   614     7    91     1   127 0.41 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1427000.1-p1   -            315 2713at5820           -            991       1.1    5.5  31.2   1   1     0.003       1.3    5.3  31.2   484   642   103   265    48   302 0.37 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927100.1-p1   -            310 2713at5820           -            991       1.2    5.4  25.0   1   1    0.0033       1.4    5.1  25.0   526   718    77   281    27   305 0.43 | transcript=PVP01_0927100.1 | gene=PVP01_0927100 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 21, putative | transcript_product=mediator of RNA polymerase II transcription subunit 21, putative | location=PvP01_09_v2:1190888-1192226(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0529000.1-p1   -            278 2713at5820           -            991       2.2    4.5  43.2   1   1    0.0059       2.6    4.3  43.2   512   637   169   272   101   278 0.35 | transcript=PVP01_0529000.1 | gene=PVP01_0529000 | organism=Plasmodium_vivax_P01 | gene_product=ran-specific GTPase-activating protein 1, putative | transcript_product=ran-specific GTPase-activating protein 1, putative | location=PvP01_05_v2:1197705-1198913(+) | protein_length=278 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426700.1-p1   -            270 2713at5820           -            991       2.3    4.5  30.2   1   1     0.006       2.6    4.3  30.2   489   642    14   185     1   215 0.48 | transcript=PVP01_1426700.1 | gene=PVP01_1426700 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor SUI1, putative | transcript_product=translation initiation factor SUI1, putative | location=PvP01_14_v2:1136019-1137402(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461800.1-p1   -            205 2713at5820           -            991       3.1    4.0  31.3   1   1    0.0088       3.8    3.7  31.3   511   643    25   167    16   195 0.40 | transcript=PVP01_1461800.1 | gene=PVP01_1461800 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_14_v2:2670285-2671250(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 2713at5820           -            991       3.5    3.8  26.3   1   1     0.012       5.2    3.3  26.3   553   724   103   295    78   310 0.39 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 2713at5820           -            991       4.3    3.6  30.9   1   2    0.0018      0.79    6.0   6.4   577   677    74   180     9   188 0.55 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 2713at5820           -            991       4.3    3.6  30.9   2   2    0.0089       3.9    3.7  16.4   559   638   238   312   212   360 0.35 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025400.1-p1   -            276 2713at5820           -            991         8    2.7  12.8   1   1     0.025        11    2.2  12.8   517   631   177   254    90   275 0.40 | transcript=PVP01_1025400.1 | gene=PVP01_1025400 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_10_v2:1110700-1111530(-) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2713at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2713at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:31 2026
# [ok]
