#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0204000.1-p1   -            114 14799at5820          -             80   8.2e-49  162.5   2.8   1   1   9.7e-52   1.1e-48  162.1   2.8     1    80    31   114    31   114 0.98 | transcript=PVP01_0204000.1 | gene=PVP01_0204000 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_02_v2:193184-193933(+) | protein_length=114 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526900.1-p1   -            296 14799at5820          -             80    0.0022   16.9   0.4   1   1   6.1e-06    0.0066   15.4   0.4     7    51   139   183   133   212 0.84 | transcript=PVP01_0526900.1 | gene=PVP01_0526900 | organism=Plasmodium_vivax_P01 | gene_product=memo-like protein | transcript_product=memo-like protein | location=PvP01_05_v2:1102517-1104972(-) | protein_length=296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0008250.1-p1   -            268 14799at5820          -             80     0.012   14.6   1.6   1   1   2.6e-05     0.028   13.4   1.6     3    45   108   154   106   172 0.75 | transcript=PVP01_0008250.1 | gene=PVP01_0008250 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_35.final:25857-26790(+) | protein_length=268 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 14799at5820          -             80     0.035   13.1   0.5   1   2       2.1   2.3e+03   -2.3   0.2    25    39    96   110    85   115 0.75 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313000.1-p1   -            417 14799at5820          -             80     0.035   13.1   0.5   2   2   0.00015      0.16   11.0   0.0    10    45   162   197   157   204 0.89 | transcript=PVP01_1313000.1 | gene=PVP01_1313000 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_13_v2:585179-586432(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0007380.1-p1   -            251 14799at5820          -             80     0.079   11.9   4.1   1   2   0.00082      0.89    8.6   0.4    55    79    81   105    34   106 0.79 | transcript=PVP01_0007380.1 | gene=PVP01_0007380 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_27.final:10962-11831(+) | protein_length=251 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0007380.1-p1   -            251 14799at5820          -             80     0.079   11.9   4.1   2   2     0.024        26    3.9   0.3    20    43   118   140   109   147 0.85 | transcript=PVP01_0007380.1 | gene=PVP01_0007380 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Transfer.PvP01_00_27.final:10962-11831(+) | protein_length=251 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_1272900.1-p1   -            270 14799at5820          -             80      0.29   10.1   8.7   1   3      0.92     1e+03   -1.2   0.1    12    20    38    46    28    69 0.69 | transcript=PVP01_1272900.1 | gene=PVP01_1272900 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_12_v2:3095699-3096667(+) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1272900.1-p1   -            270 14799at5820          -             80      0.29   10.1   8.7   2   3   0.00021      0.23   10.5   2.3     1    60   100   163   100   168 0.77 | transcript=PVP01_1272900.1 | gene=PVP01_1272900 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_12_v2:3095699-3096667(+) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1272900.1-p1   -            270 14799at5820          -             80      0.29   10.1   8.7   3   3     0.093     1e+02    2.0   0.1    27    44   202   219   189   233 0.81 | transcript=PVP01_1272900.1 | gene=PVP01_1272900 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_12_v2:3095699-3096667(+) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
