#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0924000.1-p1   -            547 5094at5820           -            473         0 1057.4   8.8   1   2   1.9e-07   9.6e-05   19.7   0.7     1    20     1    20     1    24 0.92 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 5094at5820           -            473         0 1057.4   8.8   2   2         0         0 1041.9   2.1    22   472    96   546    79   547 0.99 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 5094at5820           -            473   2.9e-91  305.0   0.9   1   1   7.7e-94   3.9e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 5094at5820           -            473   2.9e-91  305.0   0.9   1   1   7.7e-94   3.9e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 5094at5820           -            473   5.7e-23   79.8   3.8   1   2   2.6e-22   1.3e-19   68.7   3.0    34   358    69   359    50   373 0.79 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 5094at5820           -            473   5.7e-23   79.8   3.8   2   2      0.32   1.6e+02   -0.8   0.0   452   469   436   453   411   455 0.84 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 5094at5820           -            473   1.2e-19   68.8  16.2   1   2   1.7e-21   8.7e-19   66.0  13.4    32   397     7   347     2   365 0.80 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 5094at5820           -            473   1.2e-19   68.8  16.2   2   2       1.6   8.3e+02   -3.2   0.0   452   469   388   405   376   407 0.79 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 5094at5820           -            473   8.6e-18   62.7   0.1   1   2   1.3e-13   6.6e-11   40.0   0.0    36   103   128   190   102   203 0.86 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729700.1-p1   -            845 5094at5820           -            473   8.6e-18   62.7   0.1   2   2   1.6e-07   7.9e-05   20.0   0.0   115   210   267   356   259   384 0.84 | transcript=PVP01_0729700.1 | gene=PVP01_0729700 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_07_v2:1265963-1268500(-) | protein_length=845 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 5094at5820           -            473   1.2e-06   26.0   0.7   1   2         3   1.5e+03   -4.0   0.1   200   222   390   412   377   413 0.76 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017400.1-p1   -           1372 5094at5820           -            473   1.2e-06   26.0   0.7   2   2   2.4e-09   1.2e-06   26.0   0.7    86   303   785   992   775  1034 0.63 | transcript=PVP01_1017400.1 | gene=PVP01_1017400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, sporozoite surface antigen MB2, putative | transcript_product=translation initiation factor IF-2 | location=PvP01_10_v2:779143-783261(+) | protein_length=1372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 5094at5820           -            473   0.00042   17.6   0.1   1   1   1.9e-06   0.00098   16.4   0.1    39   152    43   150    34   176 0.79 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1413400.1-p1   -           1071 5094at5820           -            473   0.00044   17.5   0.0   1   1   1.6e-06   0.00083   16.6   0.0   104   236   241   367   231   371 0.82 | transcript=PVP01_1413400.1 | gene=PVP01_1413400 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=PvP01_14_v2:584350-587565(+) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 5094at5820           -            473    0.0012   16.0   3.0   1   3   3.7e-06    0.0018   15.5   0.1    36   155    24   130    17   144 0.83 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
