#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   1  10   1.7e-99   1.1e-95  320.1  27.5     2   205     9   218     8   235 0.95 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   2  10   2.8e-48   1.8e-44  150.4   4.3   203   317   561   675   556   686 0.94 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   3  10   2.7e-68   1.8e-64  216.7  24.4   324   461  1211  1356  1202  1362 0.94 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   4  10  6.2e-101     4e-97  324.9  29.1   426   651  1395  1639  1379  1652 0.87 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   5  10   6.5e-39   4.2e-35  119.4  15.8   650   735  1714  1806  1709  1818 0.88 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   6  10   4.1e-74   2.7e-70  236.0  25.1   737   892  1861  2020  1859  2041 0.97 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   7  10   2.3e-05      0.15    8.1   4.7   888   936  2330  2380  2279  2387 0.73 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   8  10   4.3e-66   2.8e-62  209.4  20.9   886  1071  2476  2672  2451  2678 0.85 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0   9  10     7e-51   4.6e-47  159.0  15.1  1066  1161  2918  3013  2915  3020 0.96 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1107600.1-p1   -           3419 451at5820            -           1467         0 2140.8 286.0  10  10  1.9e-139  1.3e-135  452.5  47.1  1156  1467  3063  3416  3060  3416 0.90 | transcript=PVP01_1107600.1 | gene=PVP01_1107600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:287362-297621(-) | protein_length=3419 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/451at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/451at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/451at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:05 2026
# [ok]
