#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   1   8  1.4e-207  1.6e-204  680.6   4.5    28   416    92   525    85   529 0.92 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   2   8   1.1e-86   1.2e-83  279.9   0.0   415   599   577   788   571   792 0.91 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   3   8  2.3e-112  2.6e-109  365.0   0.1   590   797   805  1021   799  1023 0.96 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   4   8   3.2e-11   3.4e-08   29.8   0.1    28   112  1039  1123  1035  1129 0.75 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   5   8   5.2e-29   5.7e-26   88.8   0.0   823   914  1116  1215  1110  1221 0.88 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   6   8  1.9e-185  2.1e-182  607.3  33.1   926  1294  1287  1736  1281  1738 0.89 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   7   8   1.5e-96   1.6e-93  312.6  15.5  1292  1478  1770  1996  1760  2006 0.87 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 374at5820            -           1549         0 2465.3  90.6   8   8   4.5e-39   4.8e-36  122.1   4.3  1477  1549  2042  2115  2037  2115 0.96 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118900.1-p1   -            295 374at5820            -           1549   1.3e-35  120.7   0.0   1   1   1.4e-38   1.5e-35  120.5   0.0   597   795    89   289    37   294 0.87 | transcript=PVP01_0118900.1 | gene=PVP01_0118900 | organism=Plasmodium_vivax_P01 | gene_product=von Willebrand factor A domain-related protein, putative | transcript_product=von Willebrand factor A domain-related protein, putative | location=PvP01_01_v2:866750-867637(+) | protein_length=295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218700.1-p1   -            556 374at5820            -           1549   7.1e-30  101.7   5.8   1   2   5.9e-31   6.5e-28   95.2   0.2   600   793    36   232    25   240 0.91 | transcript=PVP01_1218700.1 | gene=PVP01_1218700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=PvP01_12_v2:768961-770631(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218700.1-p1   -            556 374at5820            -           1549   7.1e-30  101.7   5.8   2   2   8.6e-05     0.094    8.5   2.1  1215  1258   239   282   232   287 0.67 | transcript=PVP01_1218700.1 | gene=PVP01_1218700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related anonymous protein, putative | transcript_product=thrombospondin-related anonymous protein, putative | location=PvP01_12_v2:768961-770631(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132600.1-p1   -           1512 374at5820            -           1549   4.2e-09   32.9   0.4   1   3   9.9e-05      0.11    8.3   4.9  1110  1321   255   280   133   330 0.52 | transcript=PVP01_1132600.1 | gene=PVP01_1132600 | organism=Plasmodium_vivax_P01 | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=PvP01_11_v2:1394606-1399144(-) | protein_length=1512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132600.1-p1   -           1512 374at5820            -           1549   4.2e-09   32.9   0.4   2   3   3.8e-12   4.2e-09   32.9   0.4    35   168   326   461   305   490 0.79 | transcript=PVP01_1132600.1 | gene=PVP01_1132600 | organism=Plasmodium_vivax_P01 | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=PvP01_11_v2:1394606-1399144(-) | protein_length=1512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1132600.1-p1   -           1512 374at5820            -           1549   4.2e-09   32.9   0.4   3   3       1.1   1.2e+03   -5.1   1.0   481   535   941   995   940  1003 0.81 | transcript=PVP01_1132600.1 | gene=PVP01_1132600 | organism=Plasmodium_vivax_P01 | gene_product=TRAP-like protein, putative | transcript_product=TRAP-like protein, putative | location=PvP01_11_v2:1394606-1399144(-) | protein_length=1512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210700.1-p1   -            159 374at5820            -           1549   4.6e-06   22.8   5.6   1   1   5.1e-09   5.5e-06   22.5   5.6  1294  1370    47   121    33   138 0.59 | transcript=PVP01_0210700.1 | gene=PVP01_0210700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=PvP01_02_v2:437231-438188(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0835600.1-p1   -            363 374at5820            -           1549    0.0018   14.2   0.2   1   1   2.1e-06    0.0023   13.8   0.2  1172  1263   297   340   279   347 0.55 | transcript=PVP01_0835600.1 | gene=PVP01_0835600 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite (CS) protein | transcript_product=circumsporozoite (CS) protein | location=PvP01_08_v2:1508714-1509805(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:29 2026
# [ok]
