#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0103400.1-p1   -           1335 2235at5820           -            813         0 1305.4  95.4   1   7     1e-48   3.3e-45  153.0   5.6     1   130     1   137     1   150 0.72 | transcript=PVP01_0103400.1 | gene=PVP01_0103400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:153999-158006(-) | protein_length=1335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103400.1-p1   -           1335 2235at5820           -            813         0 1305.4  95.4   2   7   7.5e-61   2.4e-57  193.1  15.7    81   217   251   398   238   404 0.87 | transcript=PVP01_0103400.1 | gene=PVP01_0103400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:153999-158006(-) | protein_length=1335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103400.1-p1   -           1335 2235at5820           -            813         0 1305.4  95.4   3   7   6.3e-34   2.1e-30  104.1   0.4   226   301   453   532   436   536 0.90 | transcript=PVP01_0103400.1 | gene=PVP01_0103400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:153999-158006(-) | protein_length=1335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103400.1-p1   -           1335 2235at5820           -            813         0 1305.4  95.4   4   7   1.2e-18   3.9e-15   53.5   0.1   295   345   574   627   564   647 0.81 | transcript=PVP01_0103400.1 | gene=PVP01_0103400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:153999-158006(-) | protein_length=1335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103400.1-p1   -           1335 2235at5820           -            813         0 1305.4  95.4   5   7  6.4e-103   2.1e-99  332.3  12.0   339   557   730   975   715   989 0.89 | transcript=PVP01_0103400.1 | gene=PVP01_0103400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:153999-158006(-) | protein_length=1335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103400.1-p1   -           1335 2235at5820           -            813         0 1305.4  95.4   6   7  1.4e-141  4.4e-138  460.2  26.3   554   769  1028  1243  1025  1271 0.96 | transcript=PVP01_0103400.1 | gene=PVP01_0103400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:153999-158006(-) | protein_length=1335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103400.1-p1   -           1335 2235at5820           -            813         0 1305.4  95.4   7   7   1.1e-12   3.5e-09   33.8   0.0   766   813  1278  1335  1264  1335 0.80 | transcript=PVP01_0103400.1 | gene=PVP01_0103400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_01_v2:153999-158006(-) | protein_length=1335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1147500.1-p1   -            268 2235at5820           -            813       2.8    4.4  21.3   1   2     2e-05     0.067    9.7   1.5    44   127    13   106     4   130 0.58 | transcript=PVP01_1147500.1 | gene=PVP01_1147500 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_11_v2:2029337-2030483(+) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1147500.1-p1   -            268 2235at5820           -            813       2.8    4.4  21.3   2   2     0.017        55    0.1  12.5    58   152   171   265   162   267 0.70 | transcript=PVP01_1147500.1 | gene=PVP01_1147500 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_11_v2:2029337-2030483(+) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2235at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:52 2026
# [ok]
