#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   1   9         1   6.5e+03   -9.5   6.7    59    72     8    21     2    24 0.40 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   2   9   1.1e-14     7e-11   40.0  22.1     1    51    26    77    26    89 0.85 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   3   9  3.5e-125  2.3e-121  405.3 121.2    42   401    93   510    78   530 0.81 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   4   9         1   6.5e+03  -10.6  19.8   360   432   546   622   527   626 0.67 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   5   9         1   6.5e+03   -9.4  29.6   290   432   658   802   632   811 0.54 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   6   9   2.3e-08   0.00015   19.1  13.7   404   460   810   864   795   900 0.69 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   7   9      0.36   2.3e+03   -4.7   9.7    17   104   913  1008   894  1015 0.70 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   8   9   1.5e-16   9.6e-13   46.1   6.9   481   527  1017  1064  1010  1069 0.88 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0701900.1-p1   -           1331 3630at5820           -            756  5.7e-268  890.1 246.0   9   9    4e-136  2.6e-132  441.5  50.2   512   756  1074  1331  1067  1331 0.95 | transcript=PVP01_0701900.1 | gene=PVP01_0701900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP138, putative | transcript_product=nucleoporin NUP138, putative | location=PvP01_07_v2:122338-126333(+) | protein_length=1331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3630at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3630at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3630at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:41 2026
# [ok]
