#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0607800.1-p1   -            876 3500at5820           -            687         0 1215.4  92.3   1   3  1.8e-252  2.3e-249  828.3  51.5     1   423     1   465     1   477 0.91 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3500at5820           -            687         0 1215.4  92.3   2   3   6.3e-16   8.2e-13   46.5  12.7   420   487   509   585   498   620 0.76 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607800.1-p1   -            876 3500at5820           -            687         0 1215.4  92.3   3   3    4e-107  5.2e-104  347.9  12.1   472   686   653   874   625   875 0.92 | transcript=PVP01_0607800.1 | gene=PVP01_0607800 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K10, putative | transcript_product=kelch protein K10, putative | location=PvP01_06_v2:350603-353233(+) | protein_length=876 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 3500at5820           -            687   1.3e-13   49.1   0.0   1   2   8.3e-14   1.1e-10   39.5   0.0    74   214    20   156    12   178 0.88 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 3500at5820           -            687   1.3e-13   49.1   0.0   2   2   0.00045      0.58    7.3   0.0   128   235   183   291   173   310 0.68 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3500at5820           -            687   5.7e-11   40.4  12.7   1   3   1.1e-10   1.5e-07   29.1   5.0    77   234    80   228    59   232 0.80 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3500at5820           -            687   5.7e-11   40.4  12.7   2   3    0.0058       7.5    3.7   0.1    74   105   234   263   229   286 0.78 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3500at5820           -            687   5.7e-11   40.4  12.7   3   3   3.6e-05     0.047   10.9   0.1   139   209   353   417   299   436 0.81 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 3500at5820           -            687   4.2e-08   30.9   1.8   1   2     0.055        72    0.4   0.1   515   559  1317  1360  1271  1362 0.76 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0932400.1-p1   -           2385 3500at5820           -            687   4.2e-08   30.9   1.8   2   2   1.4e-10   1.8e-07   28.8   0.2   128   254  1429  1549  1419  1564 0.84 | transcript=PVP01_0932400.1 | gene=PVP01_0932400 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_09_v2:1383753-1390910(+) | protein_length=2385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432200.1-p1   -            586 3500at5820           -            687   5.3e-05   20.7   3.6   1   3       1.5     2e+03   -4.4   1.3    17    30    19    32     9    67 0.47 | transcript=PVP01_1432200.1 | gene=PVP01_1432200 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_14_v2:1405386-1407146(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
