#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0506500.1-p1   -            482 5565at5820           -            428  1.5e-263  872.4   7.6   1   1  2.1e-266  1.7e-263  872.2   7.6     1   428    24   482    24   482 0.96 | transcript=PVP01_0506500.1 | gene=PVP01_0506500 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_05_v2:285877-287443(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 5565at5820           -            428     4e-29  100.0   8.0   1   2   7.1e-09   5.8e-06   23.7   0.8     9   138    29   175    24   187 0.73 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234200.1-p1   -            543 5565at5820           -            428     4e-29  100.0   8.0   2   2   5.5e-26   4.5e-23   80.1   1.3   279   419   377   524   289   532 0.85 | transcript=PVP01_1234200.1 | gene=PVP01_1234200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_12_v2:1366295-1368471(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 5565at5820           -            428   3.2e-17   60.8   6.0   1   3     2e-07   0.00016   18.9   0.7   318   408    44   132    28   154 0.69 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 5565at5820           -            428   3.2e-17   60.8   6.0   2   3   1.1e-14   9.2e-12   42.8   0.2   291   414   152   280   136   291 0.81 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0934900.1-p1   -            424 5565at5820           -            428   3.2e-17   60.8   6.0   3   3     0.076        62    0.5   0.0    75   111   357   398   346   412 0.73 | transcript=PVP01_0934900.1 | gene=PVP01_0934900 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1486738-1488012(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202300.1-p1   -            209 5565at5820           -            428   5.8e-13   46.8   0.1   1   1   9.4e-16   7.7e-13   46.4   0.1   326   409    49   130    37   141 0.86 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249700.1-p1   -            104 5565at5820           -            428     1e-10   39.4   0.2   1   1   1.2e-13     1e-10   39.4   0.2    15   389     9    83     1   102 0.49 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0928200.1-p1   -            424 5565at5820           -            428   6.8e-06   23.5   3.1   1   1   1.3e-08   1.1e-05   22.8   3.1    13   206    34   258    27   298 0.71 | transcript=PVP01_0928200.1 | gene=PVP01_0928200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1231897-1235400(+) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724000.1-p1   -            133 5565at5820           -            428   3.2e-05   21.2   0.0   1   1   4.5e-08   3.6e-05   21.1   0.0   319   388    38   105    28   123 0.85 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209700.1-p1   -            157 5565at5820           -            428   0.00013   19.3   0.1   1   1   1.9e-07   0.00015   19.0   0.1    18    87    64   135    48   151 0.84 | transcript=PVP01_1209700.1 | gene=PVP01_1209700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=PvP01_12_v2:398246-399338(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5565at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5565at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5565at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:20 2026
# [ok]
