#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1004000.1-p1   -            284 10406at5820          -            229  1.5e-140  464.9  25.4   1   1  2.6e-142  2.1e-139  461.0  25.4     1   229    27   282    27   282 0.96 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 10406at5820          -            229    0.0021   16.2   0.5   1   2      0.77   6.3e+02   -1.7   0.8   142   159   154   171    97   203 0.68 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 10406at5820          -            229    0.0021   16.2   0.5   2   2   2.6e-06    0.0021   16.2   0.5   195   227   358   390   329   392 0.70 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 10406at5820          -            229    0.0047   15.0   1.9   1   1   1.1e-05     0.009   14.1   1.9   188   226  1169  1207  1146  1210 0.76 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821100.1-p1   -            108 10406at5820          -            229    0.0079   14.3   3.8   1   1   1.8e-05     0.015   13.4   3.8   185   222    61    96    16   100 0.77 | transcript=PVP01_0821100.1 | gene=PVP01_0821100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=PvP01_08_v2:923353-923679(+) | protein_length=108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125000.1-p1   -             89 10406at5820          -            229     0.057   11.5   6.4   1   1   2.7e-05     0.022   12.8   3.9   197   226    50    80    35    82 0.84 | transcript=PVP01_1125000.1 | gene=PVP01_1125000 | organism=Plasmodium_vivax_P01 | gene_product=anaphase-promoting complex subunit 11, putative | transcript_product=anaphase-promoting complex subunit 11, putative | location=PvP01_11_v2:1096658-1096927(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220700.1-p1   -            456 10406at5820          -            229      0.31    9.1   5.2   1   1   0.00076      0.62    8.1   5.2   199   226    20    49     4    52 0.73 | transcript=PVP01_1220700.1 | gene=PVP01_1220700 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_12_v2:828721-830091(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117800.1-p1   -            906 10406at5820          -            229      0.49    8.4   6.8   1   3     0.025        20    3.1   1.1   136   192   419   476   414   499 0.71 | transcript=PVP01_0117800.1 | gene=PVP01_0117800 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-like protein, putative | transcript_product=cyclin-like protein, putative | location=PvP01_01_v2:799746-802745(-) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117800.1-p1   -            906 10406at5820          -            229      0.49    8.4   6.8   2   3      0.24     2e+02   -0.1   0.1    89   122   739   772   730   793 0.82 | transcript=PVP01_0117800.1 | gene=PVP01_0117800 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-like protein, putative | transcript_product=cyclin-like protein, putative | location=PvP01_01_v2:799746-802745(-) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117800.1-p1   -            906 10406at5820          -            229      0.49    8.4   6.8   3   3    0.0022       1.8    6.6   0.0   138   168   831   861   816   891 0.85 | transcript=PVP01_0117800.1 | gene=PVP01_0117800 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-like protein, putative | transcript_product=cyclin-like protein, putative | location=PvP01_01_v2:799746-802745(-) | protein_length=906 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1343100.1-p1   -            695 10406at5820          -            229         3    5.8  16.4   1   2      0.13     1e+02    0.8   6.8   116   178   323   388   279   416 0.69 | transcript=PVP01_1343100.1 | gene=PVP01_1343100 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_13_v2:1899368-1901455(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
