#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   1  12  5.3e-142  3.5e-138  460.7  15.5     1   241     1   245     1   250 0.96 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   2  12   3.1e-42     2e-38  130.3   4.4   229   317   282   378   279   386 0.90 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   3  12   3.5e-10   2.3e-06   24.2   7.4   294   350   407   461   404   465 0.81 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   4  12   1.4e-05     0.093    8.9   0.0   348   381   517   556   512   586 0.78 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   5  12   9.2e-19     6e-15   52.6   0.7   379   430   607   661   594   665 0.88 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   6  12   2.8e-24   1.8e-20   70.9   6.4   424   471   711   758   702   772 0.90 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   7  12   5.1e-30   3.3e-26   89.9   1.1   470   529   810   869   806   872 0.96 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   8  12     6e-74   3.9e-70  235.4  17.6   522   647  1064  1189  1056  1233 0.86 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6   9  12   0.00034       2.2    4.4   0.7   633   661  1227  1253  1201  1265 0.70 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6  10  12  1.8e-114  1.1e-110  369.6   6.4   675   888  1364  1594  1350  1602 0.93 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322500.1-p1   -           2087 1013at5820           -           1120         0 1723.8 159.6  11  12   4.8e-63   3.2e-59  199.2  25.9   882  1039  1780  1960  1767  1987 0.85 | transcript=PVP01_1322500.1 | gene=PVP01_1322500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1013437-1019951(-) | protein_length=2087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
