#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1252100.1-p1   -            152 13271at5820          -            126     7e-68  225.4  31.0   1   2   1.5e-15   3.2e-12   45.5   6.3     1    35     1    35     1    43 0.90 | transcript=PVP01_1252100.1 | gene=PVP01_1252100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2136170-2136628(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252100.1-p1   -            152 13271at5820          -            126     7e-68  225.4  31.0   2   2   1.2e-58   2.5e-55  184.8  18.6    28   126    45   150    32   150 0.91 | transcript=PVP01_1252100.1 | gene=PVP01_1252100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2136170-2136628(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251600.1-p1   -            624 13271at5820          -            126     1e-12   47.1  16.4   1   5    0.0039       8.5    5.3   0.3    93   123   112   142   106   145 0.79 | transcript=PVP01_1251600.1 | gene=PVP01_1251600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2115730-2117604(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251600.1-p1   -            624 13271at5820          -            126     1e-12   47.1  16.4   2   5   4.7e-16     1e-12   47.1  16.4    29   104   174   249   159   260 0.90 | transcript=PVP01_1251600.1 | gene=PVP01_1251600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2115730-2117604(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251600.1-p1   -            624 13271at5820          -            126     1e-12   47.1  16.4   3   5       0.4   8.7e+02   -1.1   0.3    88   102   327   341   301   397 0.62 | transcript=PVP01_1251600.1 | gene=PVP01_1251600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2115730-2117604(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251600.1-p1   -            624 13271at5820          -            126     1e-12   47.1  16.4   4   5       1.2   2.6e+03   -2.7   0.7    18    18   494   494   447   531 0.62 | transcript=PVP01_1251600.1 | gene=PVP01_1251600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2115730-2117604(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1251600.1-p1   -            624 13271at5820          -            126     1e-12   47.1  16.4   5   5       1.1   2.4e+03   -2.6   0.7    24    40   500   515   478   553 0.58 | transcript=PVP01_1251600.1 | gene=PVP01_1251600 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2115730-2117604(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252200.1-p1   -            189 13271at5820          -            126   8.7e-10   37.6   7.9   1   2     4e-13   8.7e-10   37.6   7.9    48   102    15    69     4    96 0.81 | transcript=PVP01_1252200.1 | gene=PVP01_1252200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2137948-2138517(-) | protein_length=189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1252200.1-p1   -            189 13271at5820          -            126   8.7e-10   37.6   7.9   2   2      0.19   4.2e+02   -0.1   0.1    50    68   132   150   114   165 0.70 | transcript=PVP01_1252200.1 | gene=PVP01_1252200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2137948-2138517(-) | protein_length=189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13271at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13271at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13271at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:13 2026
# [ok]
