#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   1   8   6.9e-46     9e-43  144.7  10.9     4   112    31   152    28   158 0.89 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   2   8   4.1e-86   5.3e-83  278.0   3.9   117   293   242   436   237   439 0.93 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   3   8   3.6e-66   4.7e-63  211.9   5.7   290   439   459   616   451   622 0.95 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   4   8   5.7e-78   7.5e-75  251.0  15.1   437   660   728  1004   726  1023 0.83 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   5   8   5.3e-36     7e-33  112.0   1.9   658   724  1039  1105  1031  1112 0.94 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   6   8     3e-32   3.9e-29   99.6   0.1   723   795  1130  1202  1125  1207 0.96 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   7   8   3.3e-57   4.3e-54  182.2   0.8   795   902  1226  1339  1218  1346 0.93 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253400.1-p1   -           1615 780at5820            -           1124         0 1613.2  93.0   8   8  4.6e-114    6e-111  370.5   5.4   900  1124  1362  1601  1358  1601 0.94 | transcript=PVP01_1253400.1 | gene=PVP01_1253400 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_12_v2:2179865-2184921(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236200.1-p1   -            443 780at5820            -           1124   2.1e-08   30.9   0.3   1   1   2.1e-11   2.7e-08   30.6   0.3  1053  1122   344   406   336   408 0.84 | transcript=PVP01_1236200.1 | gene=PVP01_1236200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein RAP21, putative | transcript_product=RAP protein RAP21, putative | location=PvP01_12_v2:1440485-1441985(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 780at5820            -           1124   3.2e-07   27.0   0.7   1   3     0.029        38    0.3   1.5   759   831    53   125    46   131 0.86 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 780at5820            -           1124   3.2e-07   27.0   0.7   2   3      0.34   4.5e+02   -3.3   0.1   279   307   229   257   189   264 0.63 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 780at5820            -           1124   3.2e-07   27.0   0.7   3   3   2.5e-10   3.2e-07   27.0   0.7   981  1117   309   438   291   444 0.87 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 780at5820            -           1124     0.074    9.2  23.6   1   3     0.027        36    0.4   1.1   600   698   410   514   408   542 0.67 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 780at5820            -           1124     0.074    9.2  23.6   2   3    0.0074       9.7    2.2   8.1   118   205   662   749   620   809 0.66 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 780at5820            -           1124     0.074    9.2  23.6   3   3   1.9e-06    0.0025   14.1   0.6  1052  1109  1038  1087  1031  1102 0.75 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 780at5820            -           1124      0.17    8.1   8.4   1   3   3.6e-05     0.046    9.9   1.1   161   664    69   149    38   221 0.53 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 780at5820            -           1124      0.17    8.1   8.4   2   3     0.022        29    0.7   0.0   662   716   393   448   377   454 0.87 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 780at5820            -           1124      0.17    8.1   8.4   3   3     0.041        53   -0.2   0.3   685   723   524   562   521   605 0.75 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
