#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1145100.1-p1   -           1854 592at5820            -           1360         0 2630.7 101.9   1   5         0         0 2165.7  58.8     1  1053     1  1126     1  1130 0.95 | transcript=PVP01_1145100.1 | gene=PVP01_1145100 | organism=Plasmodium_vivax_P01 | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=PvP01_11_v2:1918338-1927075(+) | protein_length=1854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145100.1-p1   -           1854 592at5820            -           1360         0 2630.7 101.9   2   5     2e-53   6.4e-50  168.4   9.1  1052  1157  1176  1288  1166  1294 0.93 | transcript=PVP01_1145100.1 | gene=PVP01_1145100 | organism=Plasmodium_vivax_P01 | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=PvP01_11_v2:1918338-1927075(+) | protein_length=1854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145100.1-p1   -           1854 592at5820            -           1360         0 2630.7 101.9   3   5   7.1e-08   0.00023   17.4   5.6  1166  1204  1374  1417  1364  1459 0.84 | transcript=PVP01_1145100.1 | gene=PVP01_1145100 | organism=Plasmodium_vivax_P01 | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=PvP01_11_v2:1918338-1927075(+) | protein_length=1854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145100.1-p1   -           1854 592at5820            -           1360         0 2630.7 101.9   4   5     0.028        92   -1.2   0.0  1191  1223  1452  1482  1430  1486 0.60 | transcript=PVP01_1145100.1 | gene=PVP01_1145100 | organism=Plasmodium_vivax_P01 | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=PvP01_11_v2:1918338-1927075(+) | protein_length=1854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1145100.1-p1   -           1854 592at5820            -           1360         0 2630.7 101.9   5   5   1.1e-90   3.6e-87  291.8   4.2  1228  1360  1720  1852  1702  1852 0.96 | transcript=PVP01_1145100.1 | gene=PVP01_1145100 | organism=Plasmodium_vivax_P01 | gene_product=NdP2 protein, putative | transcript_product=NdP2 protein, putative | location=PvP01_11_v2:1918338-1927075(+) | protein_length=1854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461000.1-p1   -           1831 592at5820            -           1360   8.9e-18   61.9  20.4   1   6    0.0055        18    1.2   3.9   185   281   159   253    64   270 0.65 | transcript=PVP01_1461000.1 | gene=PVP01_1461000 | organism=Plasmodium_vivax_P01 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=PvP01_14_v2:2632065-2638286(-) | protein_length=1831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461000.1-p1   -           1831 592at5820            -           1360   8.9e-18   61.9  20.4   2   6      0.22   7.3e+02   -4.1   5.2  1090  1150   298   361   278   392 0.72 | transcript=PVP01_1461000.1 | gene=PVP01_1461000 | organism=Plasmodium_vivax_P01 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=PvP01_14_v2:2632065-2638286(-) | protein_length=1831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461000.1-p1   -           1831 592at5820            -           1360   8.9e-18   61.9  20.4   3   6   4.1e-18   1.3e-14   51.3  11.6   428   806   567   938   497   979 0.74 | transcript=PVP01_1461000.1 | gene=PVP01_1461000 | organism=Plasmodium_vivax_P01 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=PvP01_14_v2:2632065-2638286(-) | protein_length=1831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461000.1-p1   -           1831 592at5820            -           1360   8.9e-18   61.9  20.4   4   6     2e-10   6.5e-07   25.9   1.5   928  1033   988  1096   983  1105 0.91 | transcript=PVP01_1461000.1 | gene=PVP01_1461000 | organism=Plasmodium_vivax_P01 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=PvP01_14_v2:2632065-2638286(-) | protein_length=1831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461000.1-p1   -           1831 592at5820            -           1360   8.9e-18   61.9  20.4   5   6    0.0012       3.9    3.4   0.0  1269  1353  1124  1205  1112  1213 0.65 | transcript=PVP01_1461000.1 | gene=PVP01_1461000 | organism=Plasmodium_vivax_P01 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=PvP01_14_v2:2632065-2638286(-) | protein_length=1831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461000.1-p1   -           1831 592at5820            -           1360   8.9e-18   61.9  20.4   6   6         2   6.5e+03  -25.2  31.7    13   115  1509  1611  1439  1653 0.70 | transcript=PVP01_1461000.1 | gene=PVP01_1461000 | organism=Plasmodium_vivax_P01 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=PvP01_14_v2:2632065-2638286(-) | protein_length=1831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
