#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1114400.1-p1   -            877 2392at5820           -            678         0 1402.0  32.2   1   3   3.4e-26     2e-23   81.2   0.7     1    53     3    55     3    62 0.92 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 2392at5820           -            678         0 1402.0  32.2   2   3  1.4e-261    8e-259  859.1  13.1    39   459   146   573    98   578 0.93 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114400.1-p1   -            877 2392at5820           -            678         0 1402.0  32.2   3   3  1.4e-144    8e-142  472.5   3.8   453   678   597   834   585   834 0.95 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144300.1-p1   -           1522 2392at5820           -            678   1.3e-38  131.4  10.2   1   2   1.6e-39   9.3e-37  125.3   3.7   193   418   625   859   612   873 0.82 | transcript=PVP01_1144300.1 | gene=PVP01_1144300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:1873879-1878600(-) | protein_length=1522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144300.1-p1   -           1522 2392at5820           -            678   1.3e-38  131.4  10.2   2   2   0.00016     0.093    9.6   0.4   490   598   964  1082   925  1109 0.74 | transcript=PVP01_1144300.1 | gene=PVP01_1144300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:1873879-1878600(-) | protein_length=1522 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2392at5820           -            678   1.6e-35  121.2  10.5   1   2   9.5e-20   5.6e-17   59.9   0.0   200   376   348   538   340   549 0.85 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 2392at5820           -            678   1.6e-35  121.2  10.5   2   2   3.5e-22   2.1e-19   67.9   0.4   490   606  1219  1335  1214  1376 0.87 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 2392at5820           -            678     2e-34  117.6  15.5   1   2   8.6e-26   5.1e-23   79.9   6.2   124   457    54   413    44   430 0.68 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116800.1-p1   -           1093 2392at5820           -            678     2e-34  117.6  15.5   2   2   1.2e-14   6.9e-12   43.1   1.8   490   671   550   733   537   740 0.83 | transcript=PVP01_0116800.1 | gene=PVP01_0116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair and recombination protein RAD54, putative | transcript_product=DNA repair and recombination protein RAD54, putative | location=PvP01_01_v2:763437-766718(-) | protein_length=1093 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 2392at5820           -            678   9.6e-34  115.3  13.9   1   1   1.3e-34   7.6e-32  109.0  13.8   203   636   315   782   296   802 0.72 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2392at5820           -            678   3.4e-31  106.8  29.4   1   4     0.034        20    1.9   0.7    33    65    16    49     5    58 0.82 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
