#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   1   8   4.4e-75   1.4e-71  240.0   3.7     1   143     3   164     3   169 0.89 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   2   8   4.4e-24   1.4e-20   71.2   0.3   143   192   326   375   317   390 0.91 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   3   8  9.1e-112    3e-108  361.5  16.8   207   410   421   645   399   650 0.90 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   4   8   7.7e-48   2.5e-44  149.8   1.3   411   502   670   762   667   772 0.95 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   5   8  1.9e-124  6.3e-121  403.4  12.4   501   741   837  1091   829  1095 0.94 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   6   8   1.5e-92   4.9e-89  297.8   7.3   738   901  1164  1338  1158  1344 0.93 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   7   8   3.9e-21   1.3e-17   61.4   0.6   900   940  1397  1437  1395  1441 0.95 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   8   8   5.2e-25   1.7e-21   74.3   0.0   938   987  1459  1511  1455  1526 0.88 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710500.1-p1   -           1463 1709at5820           -            999   8.4e-11   38.9  72.3   1   5     0.011        37    0.3   0.0    55    76   129   150   127   156 0.89 | transcript=PVP01_0710500.1 | gene=PVP01_0710500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:525203-529594(-) | protein_length=1463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710500.1-p1   -           1463 1709at5820           -            999   8.4e-11   38.9  72.3   2   5   1.5e-09   4.9e-06   23.1  27.1   193   461   232   514   179   524 0.68 | transcript=PVP01_0710500.1 | gene=PVP01_0710500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:525203-529594(-) | protein_length=1463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710500.1-p1   -           1463 1709at5820           -            999   8.4e-11   38.9  72.3   3   5     1e-08   3.3e-05   20.3  15.5   566   689   835   955   826   982 0.89 | transcript=PVP01_0710500.1 | gene=PVP01_0710500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:525203-529594(-) | protein_length=1463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
