#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   1  12      0.27   1.8e+03   -5.6  10.4    14    93    43   131    33   151 0.56 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   2  12   1.8e-27   1.2e-23   81.1  16.5    18   112   181   288   171   295 0.78 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   3  12   4.6e-50     3e-46  156.1   7.1    95   189   305   399   291   414 0.88 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   4  12     3e-90   1.9e-86  289.3   7.3   188   334   422   568   417   571 0.98 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   5  12   1.2e-89   8.1e-86  287.2  20.9   334   500   600   781   587   794 0.89 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   6  12   6.4e-81   4.2e-77  258.3  15.9   492   640   828   979   820   983 0.96 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   7  12    4e-172  2.6e-168  560.6  39.1   636   953  1072  1414  1067  1426 0.93 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   8  12   2.8e-49   1.8e-45  153.5   8.1   941  1053  1500  1618  1489  1636 0.81 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   9  12   1.8e-49   1.2e-45  154.1   8.0  1048  1146  1664  1762  1659  1771 0.96 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1  10  12    2e-204  1.3e-200  667.7  31.6  1144  1477  1794  2128  1789  2187 0.90 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1  11  12   5.9e-07    0.0039   13.2   0.5  1459  1488  2226  2255  2219  2269 0.85 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
