#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0721700.1-p1   -            746 3523at5820           -            606         0 1136.2  28.1   1   3  3.5e-105  5.7e-102  340.6   7.0     6   193    54   250    49   254 0.95 | transcript=PVP01_0721700.1 | gene=PVP01_0721700 | organism=Plasmodium_vivax_P01 | gene_product=nitric oxide synthase, putative | transcript_product=nitric oxide synthase, putative | location=PvP01_07_v2:940670-942910(+) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721700.1-p1   -            746 3523at5820           -            606         0 1136.2  28.1   2   3   3.6e-43   5.9e-40  135.8   0.1   188   283   286   382   281   391 0.94 | transcript=PVP01_0721700.1 | gene=PVP01_0721700 | organism=Plasmodium_vivax_P01 | gene_product=nitric oxide synthase, putative | transcript_product=nitric oxide synthase, putative | location=PvP01_07_v2:940670-942910(+) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0721700.1-p1   -            746 3523at5820           -            606         0 1136.2  28.1   3   3  1.7e-204  2.8e-201  668.6   8.5   277   606   405   746   402   746 0.98 | transcript=PVP01_0721700.1 | gene=PVP01_0721700 | organism=Plasmodium_vivax_P01 | gene_product=nitric oxide synthase, putative | transcript_product=nitric oxide synthase, putative | location=PvP01_07_v2:940670-942910(+) | protein_length=746 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256700.1-p1   -            802 3523at5820           -            606   7.1e-12   43.1   9.7   1   3     5e-14   8.1e-11   39.6   1.2    13   160     9   153     2   180 0.85 | transcript=PVP01_1256700.1 | gene=PVP01_1256700 | organism=Plasmodium_vivax_P01 | gene_product=NADPH--cytochrome P450 reductase, putative | transcript_product=NADPH--cytochrome P450 reductase, putative | location=PvP01_12_v2:2331480-2333888(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256700.1-p1   -            802 3523at5820           -            606   7.1e-12   43.1   9.7   2   3     0.017        27    1.5   0.1   498   540   628   667   624   678 0.83 | transcript=PVP01_1256700.1 | gene=PVP01_1256700 | organism=Plasmodium_vivax_P01 | gene_product=NADPH--cytochrome P450 reductase, putative | transcript_product=NADPH--cytochrome P450 reductase, putative | location=PvP01_12_v2:2331480-2333888(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1256700.1-p1   -            802 3523at5820           -            606   7.1e-12   43.1   9.7   3   3    0.0009       1.5    5.7   0.1   536   588   720   775   704   790 0.77 | transcript=PVP01_1256700.1 | gene=PVP01_1256700 | organism=Plasmodium_vivax_P01 | gene_product=NADPH--cytochrome P450 reductase, putative | transcript_product=NADPH--cytochrome P450 reductase, putative | location=PvP01_12_v2:2331480-2333888(-) | protein_length=802 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1126300.1-p1   -            367 3523at5820           -            606   1.7e-11   41.8   0.2   1   1   1.7e-14   2.8e-11   41.1   0.2   436   577   188   343   179   364 0.74 | transcript=PVP01_1126300.1 | gene=PVP01_1126300 | organism=Plasmodium_vivax_P01 | gene_product=ferredoxin--NADP reductase, putative | transcript_product=ferredoxin--NADP reductase, putative | location=PvP01_11_v2:1145965-1147068(-) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008900.1-p1   -            824 3523at5820           -            606     6e-10   36.7   1.8   1   3      0.48   7.9e+02   -3.3   0.1    10    45    30    69    26    75 0.62 | transcript=PVP01_1008900.1 | gene=PVP01_1008900 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | transcript_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | location=PvP01_10_v2:403641-406115(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008900.1-p1   -            824 3523at5820           -            606     6e-10   36.7   1.8   2   3      0.57   9.2e+02   -3.6   0.0   155   179   100   124    97   133 0.79 | transcript=PVP01_1008900.1 | gene=PVP01_1008900 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | transcript_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | location=PvP01_10_v2:403641-406115(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1008900.1-p1   -            824 3523at5820           -            606     6e-10   36.7   1.8   3   3   3.7e-13     6e-10   36.7   1.8    44   160   174   296   144   317 0.88 | transcript=PVP01_1008900.1 | gene=PVP01_1008900 | organism=Plasmodium_vivax_P01 | gene_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | transcript_product=S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, putative | location=PvP01_10_v2:403641-406115(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
