#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1311100.1-p1   -           1341 1301at5820           -           1082         0 2259.6   6.4   1   1         0         0 2259.3   6.4    11  1082   192  1341   184  1341 0.96 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1301at5820           -           1082  3.3e-122  407.8  20.2   1   4     1e-59   1.4e-56  190.5   3.5    17   383    12   399     3   442 0.86 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1301at5820           -           1082  3.3e-122  407.8  20.2   2   4   1.2e-14   1.5e-11   41.4   0.1   518   648   653   783   631   797 0.86 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1301at5820           -           1082  3.3e-122  407.8  20.2   3   4   1.4e-53   1.8e-50  170.2   0.2   677   837   845  1005   831  1035 0.92 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1301at5820           -           1082  3.3e-122  407.8  20.2   4   4     6e-07   0.00078   15.8   0.8   976  1069  1076  1171  1046  1180 0.87 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 1301at5820           -           1082   1.1e-17   61.7   8.6   1   4   9.3e-11   1.2e-07   28.4   1.2    24   193   363   531   341   544 0.81 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 1301at5820           -           1082   1.1e-17   61.7   8.6   2   4      0.15   1.9e+02   -2.0   0.0   293   355   685   748   674   769 0.67 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 1301at5820           -           1082   1.1e-17   61.7   8.6   3   4   0.00047      0.62    6.2   0.0   534   664  1188  1314  1118  1325 0.79 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 1301at5820           -           1082   1.1e-17   61.7   8.6   4   4   4.7e-11   6.1e-08   29.4   0.1   667   776  1551  1659  1475  1715 0.67 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 1301at5820           -           1082   9.9e-11   38.7   2.4   1   4    0.0033       4.3    3.4   0.0   125   188   523   590   438   600 0.71 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 1301at5820           -           1082   9.9e-11   38.7   2.4   2   4     0.011        15    1.7   0.1   337   367   794   825   673   835 0.65 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
