#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0920100.1-p1   -            478 6501at5820           -            376  7.4e-218  721.4  24.9   1   2   1.2e-73   1.5e-70  236.6   2.5     1   129     1   140     1   145 0.95 | transcript=PVP01_0920100.1 | gene=PVP01_0920100 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=PvP01_09_v2:874869-876686(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920100.1-p1   -            478 6501at5820           -            376  7.4e-218  721.4  24.9   2   2  7.9e-151    1e-147  490.6  14.6   126   376   198   476   178   476 0.93 | transcript=PVP01_0920100.1 | gene=PVP01_0920100 | organism=Plasmodium_vivax_P01 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=PvP01_09_v2:874869-876686(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412400.1-p1   -            458 6501at5820           -            376   1.8e-49  167.3  24.2   1   2     3e-35   3.9e-32  110.2  13.6     3   203     4   229     2   231 0.78 | transcript=PVP01_1412400.1 | gene=PVP01_1412400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=PvP01_14_v2:547982-549358(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1412400.1-p1   -            458 6501at5820           -            376   1.8e-49  167.3  24.2   2   2   1.2e-20   1.5e-17   62.2   2.8   196   375   253   455   245   456 0.77 | transcript=PVP01_1412400.1 | gene=PVP01_1412400 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit mu-1, putative | transcript_product=AP-1 complex subunit mu-1, putative | location=PvP01_14_v2:547982-549358(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1437100.1-p1   -            611 6501at5820           -            376   2.1e-26   91.4  65.7   1   5   2.3e-08     3e-05   21.7  30.4     3   217     2   239     1   251 0.66 | transcript=PVP01_1437100.1 | gene=PVP01_1437100 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=PvP01_14_v2:1558673-1560508(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1437100.1-p1   -            611 6501at5820           -            376   2.1e-26   91.4  65.7   2   5   5.7e-09   7.4e-06   23.7   8.2   138   200   248   310   209   322 0.73 | transcript=PVP01_1437100.1 | gene=PVP01_1437100 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=PvP01_14_v2:1558673-1560508(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1437100.1-p1   -            611 6501at5820           -            376   2.1e-26   91.4  65.7   3   5   7.8e-13     1e-09   36.4   0.2   200   253   355   408   348   416 0.92 | transcript=PVP01_1437100.1 | gene=PVP01_1437100 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=PvP01_14_v2:1558673-1560508(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1437100.1-p1   -            611 6501at5820           -            376   2.1e-26   91.4  65.7   4   5    0.0077        10    3.6   3.7   257   357   449   558   429   564 0.66 | transcript=PVP01_1437100.1 | gene=PVP01_1437100 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=PvP01_14_v2:1558673-1560508(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1437100.1-p1   -            611 6501at5820           -            376   2.1e-26   91.4  65.7   5   5   1.9e-08   2.4e-05   22.0   4.6   291   376   528   611   524   611 0.80 | transcript=PVP01_1437100.1 | gene=PVP01_1437100 | organism=Plasmodium_vivax_P01 | gene_product=AP-2 complex subunit mu, putative | transcript_product=AP-2 complex subunit mu, putative | location=PvP01_14_v2:1558673-1560508(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 6501at5820           -            376   6.7e-09   33.7  10.4   1   3   2.7e-05     0.035   11.6   0.5    50   109    73   134    56   170 0.82 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 6501at5820           -            376   6.7e-09   33.7  10.4   2   3   1.6e-10   2.1e-07   28.9   0.2   125   207   198   285   184   300 0.81 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1266300.1-p1   -            763 6501at5820           -            376   6.7e-09   33.7  10.4   3   3       1.5     2e+03   -4.0   0.5   122   166   551   596   538   609 0.46 | transcript=PVP01_1266300.1 | gene=PVP01_1266300 | organism=Plasmodium_vivax_P01 | gene_product=AP-3 complex subunit mu, putative | transcript_product=AP-3 complex subunit mu, putative | location=PvP01_12_v2:2754420-2756711(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0918700.1-p1   -            155 6501at5820           -            376   0.00098   16.7   0.8   1   1   9.3e-07    0.0012   16.5   0.8    68   126    80   138    53   151 0.84 | transcript=PVP01_0918700.1 | gene=PVP01_0918700 | organism=Plasmodium_vivax_P01 | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=PvP01_09_v2:827036-827647(+) | protein_length=155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6501at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:13 2026
# [ok]
