#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   1   8   5.1e-84   5.6e-81  271.3   2.7     3   174     5   189     3   194 0.92 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   2   8     3e-26   3.3e-23   80.1   0.1   174   239   283   349   267   353 0.94 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   3   8   2.3e-16   2.5e-13   47.4   1.1   239   275   387   424   384   431 0.89 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   4   8   4.2e-69   4.5e-66  222.0   6.1   276   417   549   699   546   704 0.95 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   5   8  8.8e-106  9.6e-103  343.4   4.6   417   666   723  1024   718  1030 0.87 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   6   8   8.5e-09   9.3e-06   22.3   0.2   667   721  1062  1122  1059  1190 0.68 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   7   8   7.1e-34   7.7e-31  105.3  12.4   741   868  1618  1785  1575  1791 0.76 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   8   8  8.5e-104  9.2e-101  336.8  11.6   868  1037  1816  1986  1802  1986 0.97 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 719at5820            -           1037   9.3e-87  290.5  13.7   1   2   4.8e-86   5.2e-83  278.1   6.0    12   560    35   625    26   639 0.79 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 719at5820            -           1037   9.3e-87  290.5  13.7   2   2   4.1e-07   0.00044   16.7   0.8   603   703   646   771   635   805 0.65 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030300.1-p1   -            800 719at5820            -           1037   1.9e-72  243.1  63.1   1   1   6.2e-72   6.7e-69  231.3  63.1    12   713    29   758    19   795 0.79 | transcript=PVP01_1030300.1 | gene=PVP01_1030300 | organism=Plasmodium_vivax_P01 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=PvP01_10_v2:1304867-1308631(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
