#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   1  10     3e-12   6.4e-09   33.0   2.4     1    38     1    39     1    58 0.82 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   2  10   1.2e-49   2.6e-46  156.8   9.2    44   133   136   225   129   229 0.96 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   3  10   7.6e-64   1.7e-60  203.8  11.9   132   264   249   389   245   410 0.92 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   4  10   4.6e-14     1e-10   38.9   0.1   275   308   554   587   513   604 0.84 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   5  10   1.6e-54   3.4e-51  172.9   0.1   308   484   625   867   622   883 0.78 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   6  10      0.17   3.8e+02   -2.7   2.6   498   514   966   982   933   984 0.79 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   7  10   1.6e-17   3.5e-14   50.4   6.5   514   590  1026  1123  1003  1143 0.73 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   8  10   4.1e-34     9e-31  105.3   3.4   587   662  1156  1231  1137  1236 0.93 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   9  10   1.3e-95   2.8e-92  309.0  18.0   660   821  1309  1469  1295  1473 0.97 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9  10  10  1.1e-146  2.3e-143  478.1  18.0   816  1060  1544  1790  1540  1791 0.98 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247800.1-p1   -            795 1177at5820           -           1061   1.5e-15   54.9  36.1   1   2   1.4e-06     0.003   14.2   0.9   609   677    51   132    43   150 0.65 | transcript=PVP01_1247800.1 | gene=PVP01_1247800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:1944432-1946819(-) | protein_length=795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
