#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1314200.1-p1   -           3056 142at5820            -           2479         0 5357.4 107.5   1   5  3.5e-269  1.1e-266  886.5   6.3     2   390    52   440    51   455 0.99 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 142at5820            -           2479         0 5357.4 107.5   2   5         0         0 2292.9  12.1   376  1394   463  1568   455  1582 0.98 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 142at5820            -           2479         0 5357.4 107.5   3   5   8.7e-08   2.8e-05   19.4   9.4  1367  1443  1575  1659  1565  1662 0.64 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 142at5820            -           2479         0 5357.4 107.5   4   5         0         0 1943.1  14.3  1430  2333  1757  2813  1735  2837 0.95 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 142at5820            -           2479         0 5357.4 107.5   5   5   4.1e-79   1.3e-76  256.0   1.9  2337  2479  2910  3056  2899  3056 0.94 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1471900.1-p1   -            307 142at5820            -           2479   3.4e-05   19.2   7.5   1   1   1.2e-07     4e-05   18.9   7.5  1378  1479    88   187    37   202 0.61 | transcript=PVP01_1471900.1 | gene=PVP01_1471900 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_14_v2:3092467-3093526(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 142at5820            -           2479   0.00025   16.3   4.7   1   1   8.9e-07   0.00029   16.1   4.7  1382  1448   110   173    54   199 0.56 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329200.1-p1   -            489 142at5820            -           2479   0.00037   15.7  31.9   1   2   1.1e-06   0.00037   15.7  31.9  1380  1484    82   180    72   220 0.47 | transcript=PVP01_1329200.1 | gene=PVP01_1329200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=PvP01_13_v2:1234119-1235590(-) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329200.1-p1   -            489 142at5820            -           2479   0.00037   15.7  31.9   2   2       4.7   1.5e+03   -6.2   6.5  1395  1418   388   411   298   446 0.53 | transcript=PVP01_1329200.1 | gene=PVP01_1329200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit H, putative | transcript_product=eukaryotic translation initiation factor 3 subunit H, putative | location=PvP01_13_v2:1234119-1235590(-) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 142at5820            -           2479    0.0027   12.9  15.9   1   1   1.1e-05    0.0037   12.4  15.9  1386  1514    33   172    18   183 0.52 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722100.1-p1   -            409 142at5820            -           2479     0.035    9.2   9.0   1   1   0.00014     0.047    8.7   9.0  1393  1441    66   114    50   125 0.68 | transcript=PVP01_0722100.1 | gene=PVP01_0722100 | organism=Plasmodium_vivax_P01 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=PvP01_07_v2:957346-958575(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924700.1-p1   -           1497 142at5820            -           2479     0.042    8.9  11.0   1   1   0.00022     0.073    8.1  11.0  1408  1453   823   868   781   875 0.46 | transcript=PVP01_0924700.1 | gene=PVP01_0924700 | organism=Plasmodium_vivax_P01 | gene_product=BEACH domain-containing protein, putative | transcript_product=BEACH domain-containing protein, putative | location=PvP01_09_v2:1100164-1104657(-) | protein_length=1497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522700.1-p1   -            411 142at5820            -           2479       0.1    7.6  14.6   1   1    0.0004      0.13    7.3  14.6  1404  1443   130   171   119   252 0.55 | transcript=PVP01_0522700.1 | gene=PVP01_0522700 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=PvP01_05_v2:914875-916300(-) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409800.1-p1   -            461 142at5820            -           2479      0.11    7.5   6.9   1   1   0.00048      0.16    7.0   6.9  1405  1478    66   142    51   148 0.55 | transcript=PVP01_1409800.1 | gene=PVP01_1409800 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=PvP01_14_v2:455455-458526(-) | protein_length=461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 142at5820            -           2479      0.24    6.4  20.9   1   1   0.00096      0.31    6.0  20.9  1356  1465    28   146    11   161 0.55 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 142at5820            -           2479      0.37    5.8  32.1   1   2   5.9e-06    0.0019   13.3   9.3  1372  1466   187   283   118   302 0.70 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 142at5820            -           2479      0.37    5.8  32.1   2   2      0.19        63   -1.6  14.8  1392  1448   398   456   355   473 0.43 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0000090.1-p1   -            262 142at5820            -           2479      0.46    5.4   8.8   1   1    0.0018      0.59    5.1   8.8  1383  1484    69   163    41   174 0.60 | transcript=PVP01_0000090.1 | gene=PVP01_0000090 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein (PHIST), unknown function | transcript_product=Plasmodium exported protein (PHIST), unknown function | location=Transfer.PvP01_00_1.final:30326-31300(+) | protein_length=262 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
