#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1319200.1-p1   -            723 5905at5820           -            437  5.2e-255  844.5  20.6   1   3   2.3e-15   2.5e-12   44.8   0.3    18    74    62   119    57   130 0.82 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 5905at5820           -            437  5.2e-255  844.5  20.6   2   3  5.2e-157  5.6e-154  511.6   6.5    60   302   243   489   232   496 0.93 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1319200.1-p1   -            723 5905at5820           -            437  5.2e-255  844.5  20.6   3   3   6.6e-92   7.2e-89  297.0   1.1   290   437   571   718   564   718 0.96 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112200.1-p1   -            545 5905at5820           -            437  1.7e-114  381.4  11.4   1   3       1.2   1.3e+03   -3.7   0.4    24    54    47    80    39    86 0.62 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112200.1-p1   -            545 5905at5820           -            437  1.7e-114  381.4  11.4   2   3   2.3e-82   2.5e-79  265.6   1.1    54   279   189   416   177   418 0.94 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0112200.1-p1   -            545 5905at5820           -            437  1.7e-114  381.4  11.4   3   3   4.4e-40   4.8e-37  126.2   0.2   302   429   414   541   413   545 0.97 | transcript=PVP01_0112200.1 | gene=PVP01_0112200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin X, putative | transcript_product=plasmepsin X, putative | location=PvP01_01_v2:557180-558817(+) | protein_length=545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241100.1-p1   -            373 5905at5820           -            437   4.6e-41  139.5   5.0   1   2   7.1e-37   7.7e-34  115.7   2.8    74   270    47   239    18   252 0.88 | transcript=PVP01_1241100.1 | gene=PVP01_1241100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=PvP01_12_v2:1676367-1679131(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241100.1-p1   -            373 5905at5820           -            437   4.6e-41  139.5   5.0   2   2   3.6e-09   3.9e-06   24.4   0.0   307   410   256   365   244   373 0.77 | transcript=PVP01_1241100.1 | gene=PVP01_1241100 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=PvP01_12_v2:1676367-1679131(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828500.1-p1   -            438 5905at5820           -            437   5.3e-29   99.7   0.3   1   2   6.8e-28   7.3e-25   86.1   0.2    69   266    98   301    72   316 0.83 | transcript=PVP01_0828500.1 | gene=PVP01_0828500 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=PvP01_08_v2:1226330-1229494(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828500.1-p1   -            438 5905at5820           -            437   5.3e-29   99.7   0.3   2   2   2.1e-05     0.023   12.0   0.0   344   416   351   429   309   437 0.73 | transcript=PVP01_0828500.1 | gene=PVP01_0828500 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=PvP01_08_v2:1226330-1229494(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340900.1-p1   -            450 5905at5820           -            437   8.5e-25   85.9  11.1   1   2   1.1e-26   1.2e-23   82.0   2.4    55   265   118   322    91   328 0.85 | transcript=PVP01_1340900.1 | gene=PVP01_1340900 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=PvP01_13_v2:1801248-1802600(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
